"kelime","anlam"
"rüya-yı muvakkat","geçici rüya"
"gaflet","dalgınlık, asıl görevlerine karşı dikkatsiz davranma"
"tasvir etme","anlatma, ifade etme"
"münasebet","alâka, ilgi"
"risale","küçük çaplı kitap; Risale-i Nur’un her bir bölümü"
"mecmua","derleme eser, kitap"
"tenezzül","inme, eğilme, alçalma"
"mühim","önemli"
"Hüccetü'l-Bâliğa","şüphesizlik derecesine ulaşmış delil mânâsında Asâ-yı Mûsâ’nın İkinci Kısmına verilen ad"
"münâcât","Allah’a yalvarış, dua"
"fâni","geçici"
"bâki","devamlı, kalıcı"
"itikad","inanç"
"dâvâ","iddia"
"hariç","dış"
"selâmet-i kalb","kalbin kurtuluşu, esenliği"
"hakikî","asıl, gerçek"
"neşr-i esrar-ı Kur’âniye","Kur’ân’daki sırları insanlara yayma"
"hamiyet-i İslâmiye","İslâmiyet’i koruma, Müslümanlara sahip çıkma gayreti"
"alâkadar","alâkalı, ilgili"
"hane","ev"
"düstur","kâide, kural"
"amel","davranış, iş"
"rıza-i İlâhî","Allah rızası"
"menfaat","çıkar"
"sofî","tasavvuf ehli, tarikat mensubu, mânevî olgunluk için çalışan"
"tarikat","İlâhî hakikatlere ulaşmak için şeyhin gözetiminde takip edilen yol"
"hubb-u câh","makam mevkî sevgisi"
"nazarı celb etmek","dikkat çekmek"
"maraz","hastalık, illet"
"şirk","Allah’a ortak koşma"
"şeyh","tarikat dersi veren mânevî lider, mürşid"
"namzet","aday"
"uhuvvet","kardeşlik"
"peder","baba"
"mürşid","irşad edici, doğru yolu gösteren"
"vaziyet","durum, hâl"
"ittifak","birleşme, birlik"
"suret","nüsha, kopya"
"maznun","zanlı, zan altında olan, sânık"
"atıf olunan","yönlendirilen"
"isnad olunan","dayandırılan"
"adem-i mâlumat","bilgisizlik"
"beyan etme","açıklama, izah etme"
"bilhassa","özellikle"
"riyaset","başkanlık"
"ehl-i vukuf","bilirkişi"
"intihap olunan","seçilen"
"Müşavere Heyeti","Danışma Kurulu"
"âzâ","üye"
"dersiâm","herkese ders vermeye yetkili bulunan kimse"
"Ankara Dil-Tarih Fakültesi Şarkiyat Enstitüsü","Günümüzde Ankara Üniversitesi Sosyal Bilimler Enstitüsüdür"
"tanzim kılınan","düzenlenen"
"evrak","sayfalar, yapraklar"
"mevcut","var olan"
"yegân yegân","ayrı ayrı, birer birer"
"tetkik olunan","incelenen, araştırılan"
"risale","küçük çaplı kitap; Risale-i Nur’un her bir bölümü"
"mukaddesat","mukaddes olan şeyler, kutsal değerler"
"ihlâl","bozma"
"teşvik etmek","şevklendirmek, isteklendirmek"
"cemiyet","dernek, topluluk"
"kasd","bilerek, isteyerek"
"sarahat","açıklık"
"emâre","alâmet, belirti"
"mevkuf","tevkif edilmiş, tutuklu"
"mensup","bağlı"
"vakıfâne","alanında söz sahibi, ehil olmak"
"hakikat","asıl, gerçek, doğru"
"hüsn-ü niyet","iyi, güzel niyet"
"itikad","inanç"
"muhabere","haberleşme"
"münderecat","bir şeyin içine yerleştirilmiş şeyler; bir kitap veya derginin ihtiva ettiği şeyler, içindekiler"
"maksat","kasıt, gaye"
"tarikat","İlâhî hakikatlere ulaşmak için şeyhin gözetiminde takip edilen yol"
"mütedair","dair, ilişik"
"Denizli ehl-i vukufu","Denizli mahkemesi bilirkişi heyeti"
"âsâr","eserler, varlıklar"
"istidlâl tarikî","delil getirme, akıl yürütme yolu"
"mesnet","dayanak"
"evrak-ı tahkikî","araştırmaya dayanan belgeler"
"şuhûd","görenler, şahitler"
"atfen","atıf olarak, yönlendirerek"
"ef’âl","fiiller, işler"
"mahiyet","asıl, esas, nitelik"
"şâyân-ı ihticac ve iltifat görülmemek","delil ve ilgi göstermeye lâyık bulunmamak"
"maznun","zan altında olan, sânık"
"ekseriyet-i âzamî","büyük çoğunluk"
"âciz","güçsüz"
"tâat","itaat, emir ve söz dinleme, ibadet etme"
"binaenaleyh","bundan dolayı"
"emniyet","güvenlik"
"ihlâl etme","bozma"
"mâhiyet","özellik"
"arz etmek","sunma, gösterme"
"şerait","şartlar"
"evsaf","vasıflar, özellikler"
"hâiz","sahip"
"tezahür etme","belirme, görünme"
"tahakkuk etme","gerçekleşme"
"kanaat-ı vicdaniye","vicdana ait fikirler"
"tecellî etme","belirme, görünme"
"tahassül etme","hâsıl olma, meydana gelme"
"müdde-i umumî","savcı"
"tecziye","cezalandırma"
"mütalâa","dikkatle okuma, inceleme"
"zikir olunan","zikredilen, açıklanan"
"tâdâd","sayma, sayım"
"delâil","deliller"
"gayr-ı vârit","savcının sözde delillerini ve iddialarını doğrulayıcı bir şeyin olmaması"
"zan altına alınma","şüphelenme"
"ef'âl","fiiller, işler"
"beraat","temize çıkma, suçsuz olduğunun anlaşılması"
"mevkuf","tevkif edilmiş, tutuklu"
"tahliye","serbest bırakılma"
"müttefikan","birleşerek, fikir birliğiyle"
"ittifak","birleşme"
"aza","üye"
"Rahmetullahi Aleyhi","Allah ona rahmet eylesin"
"hasbihal","konuşma, sohbet"
"makamat","makamlar, konuyla ilgili yerler"
"ıslah","düzeltme, iyileştirme"
"tensib","uygun görme"
"havale etme","bırakma"
"müddeî","iddia sahibi, davacı"
"şekvâ","şikâyet"
"biçare","çaresiz"
"ziyade","çok, fazla"
"haps-i münferit","tek başına hapis, hücre hapsi"
"zafiyet","zayıflık"
"men edilme","yasaklanma"
"tecrit","insanlardan soyutlama, ayırma"
"tarassut","gözetleme"
"gayretullah","Allah’ın hak dinini koruma sıfatı"
"vesile","sebep, aracı"
"zelzele","deprem"
"zulmen","zulmederek"
"taarruz","saldırı"
"vukuat","meydana gelen olaylar, hâdiseler"
"hukuk","haklar"
"muhafaza etmek","korumak"
"himaye etmek","korumak"
"bilâkis","aksine, tersine"
"ehemmiyet","değer, önem"
"me'yus","ümitsiz"
"insaniyet","insanlık"
"zabıta","polis"
"merkez-i hükümet","yönetim merkezi, Ankara"
"tetkik","inceleme"
"beraat","temize çıkma, suçsuz olduğunun anlaşılması"
"tahliye","serbest bırakılma"
"ecnebî","yabancı"
"menfaat","çıkar"
"komite","kötü bir maksat için toplanmış gizli cemiyet, dernek"
"habbeyi kubbe yapmak","en küçük meseleleri abartarak olduğundan büyük göstermek"
"evhamlandırma","şüphelendirme"
"sükût","sessiz kalma"
"istimal etme","kullanma"
"desise","hile"
"beyan etme","açıklama"
"nüfuz","etki, güç"
"tesirli","etkili"
"kesretli","pek çok"
"tecrid etmek","soyutlamak, insanlardan uzak tutmak"
"ihanet","hakaret etme, küçük düşürüp aşağılama"
"münafık","iki yüzlü, inanmadığı halde inanmış görünen"
"fasıla","ara"
"hiddet","öfke"
"evrak","sayfalar, resmî kâğıtlar"
"tetkikat","incelemeler"
"hakikî","asıl, gerçek"
"dâvâ","iddia"
"cerh edilme","çürütülme"
"iman-ı tahkikî","sağlam, sarsılmaz bir iman"
"hayat-ı ebediye","sonsuz âhiret hayatı"
"mahkûm","hüküm giymiş, tutuklu"
"mütedeyyin","dindar"
"suret","biçim, şekil"
"ikrar","tasdik, doğrulama"
"müddea","iddia edilen"
"hüccet","güçlü delil, kanıt"
"tecrid etmek","soyutlamak, uzaklaştırmak"
"katmerli","kat kat"
"zulüm","haksızlık, eziyet, işkence"
"gadir","zulüm, acımasızlık"
"hıyanet","hainlik"
"kuvve-i mâneviye","mânevî güç, moral"
"kuvvet-i imaniye","iman gücü"
"kat'î","kesin bir şekilde"
"fevkalâde","olağanüstü"
"teveccüh","ilgi, yönelme"
"rağbet","ilgi, istek"
"itiraf","kabahatını saklamamak, suçunu söylemeyi kabul etmek, açıklamak"
"had","sınır, yetki"
"ziyade","çok, fazla"
"iltifat","iyilik ve güzellikle davranış"
"iaşe","beslenme, geçim"
"müracaat","başvurma"
"insaniyet","insanlık"
"düstur","kâide, kural"
"evham","kuruntular, şüpheler"
"kayıt","sınır"
"istibdat","baskı, zulüm"
"hizmet-i imaniye","iman hizmeti"
"meşakkat","güçlük"
"meşru","dine uygun, helâl"
"iktisat","tutumluluk"
"riyazet","mânevî eğitim"
"izzet-i ilmiye","ilmin izzeti; ilmin gerektirdiği vakar, ağırbaşlılık"
"muhafaza","koruma"
"izhar-ı hâcet","ihtiyacını söyleme"
"minnet","iyilik yapana karşı kendini borçlu hissetme"
"sadaka","Allah rızası için ihtiyaç sahibi kişilere yapılan yardım"
"zekât","malın belli bir miktarını her sene ihtiyaç sahiplerine dağıtmak"
"emsal","benzer"
"tazyik","baskı"
"cüz'î","küçük, ferdî"
"nümune","örnek, misâl"
"beyan etme","açıklama"
"müdafaaname","savunma dilekçesi"
"makamat","makamlar"
"Reisicumhur","cumhurbaşkanı; İsmet İnönü"
"müdafaat","müdafalar, savunmalar"
"Ankara ehl-i vukufu","Ankara mahkemesi bilirkişi heyeti"
"takdiriyle","kararıyla"
"beraat","temize çıkma, suçsuz olduğunun anlaşılması"
"yâdigâr","bir kimseyi veya olayı hatırlatan eşya veya kimse"
"nüsha","kopya"
"Denizli zabıtası","Denizli polisi"
"Afyon polishanesi","Afyon karakolu"
"zabıta","polis"
"taharri etme","arama yapma"
"İhtiyarlar Risalesi","Yirmi Altıncı Lem’a"
"habbeyi kubbe yapmak","çok küçük bir meseleyi abartarak olduğundan büyük göstermek"
"vilâyet","il"
"nümune","örnek, misâl"
"mâni","engel, alıkoyan"
"ehemmiyet","değer, önem"
"hariç","dış"
"âlem-i İslâm","İslâm dünyası"
"hakikat","asıl, gerçek, doğru"
"revaç","rağbet, değer, kıymet"
"intişar eden","yayılan"
"alâka","bağlantı"
"emâre","alâmet, belirti"
"zuhur","belirme, görünme"
"tevehhüm etmek","kuruntuya kapılmak, zannetmek"
"haşiye","dipnot, açıklayıcı not"
"acaip","hayret verici ve şaşırtıcı şeyler"
"hâdise","olay"
"ecza","parçalar, kısımlar"
"tevafukat","birbirine uygun gelişmeler"
"misilli","benzeri, gibi"
"katre","damla"
"sair","başka"
"umum","bütün"
"küre-i arz","yerküre, dünya"
"alâkadar","alâkalı, ilgili"
"musibet","belâ, dert, felâket"
"biraderzade","kardeş oğlu, yeğen"
"mânidar","mânâlı, anlamlı"
"hâdise-i cevviye","hava olayı"
"hâdise","olay"
"zuhur","belirme, görünme"
"zabıta","polis"
"müracaat","başvurma"
"mukabil","karşılık"
"temyiz","hakkında bir mahkeme tarafından hüküm verilen bir davanın, bir üst mahkemede tekrar görülmesi, incelenmesi"
"tasdik etme","doğrulama, onaylama"
"cihet","yön"
"ahval","durumlar"
"tecessüs etmek","casusluk yapmak, gizlice araştırmak"
"mahsus","özel"
"münafık","iki yüzlü, inanmadığı halde inanmış görünen"
"İhtiyarlar Risalesi","Yirmi Altıncı Lem’a"
"müştak","arzulu, çok istekli"
"hasbihal","konuşmak, sohbet etmek"
"nam","ad"
"lâhika","ek, ilâve"
"kat'iyen","kesin olarak"
"mübareze","karşı koyma"
"hariç","dış"
"hakikî","asıl, gerçek"
"şakirt","öğrenci"
"nesl-i âti","gelecek nesil"
"varta","tehlike"
"farz-ı muhal","olmayan bir şeyi varmış gibi düşünme, varsayım"
"saadet","mutluluk"
"selâmet","esenlik, güven"
"ahlâk-ı içtimaiye","toplum ahlâkı"
"seciye-i milliye","millî karakter ve ahlâk"
"lâubalilik","saygısızlık, pervasızlık"
"vaziyet","durum, hâl"
"namuskâr","namuslu, haysiyetli, şerefli"
"seciye","huy, karakter"
"nesl-i âti","gelecek nesil"
"seciye-i diniye","dine ait karakter, ahlâk"
"ahlâk-ı içtimaiye","toplum ahlâkı"
"cihet","yön"
"ruh u can","ruh ve canla, büyük bir istekle"
"emsalsiz","benzersiz"
"mâzi","geçmiş zaman, geçmiş"
"lekedar","lekeli, ayıplanmış"
"hakikat","asıl, esas; doğru, gerçek"
"sukut","alçalma, düşüş"
"vazife-i milliye ve vataniye","millî ve vatanî görev"
"âhiret","öteki dünya; öldükten sonraki sonsuz hayat"
"rıza-yı İlâhî","Allah’ın rızası"
"şakirt","öğrenci, talebe"
"idam-ı ebedî","sonsuz yok oluş"
"ebedî haps-i münferit","sonsuza kadar tek başına kalınacak olan hapis, hücre hapsi; Cehennem"
"biçare","çaresiz"
"dalâlet-i mutlaka","mutlak dalâlet, tam bir sapkınlık"
"Müslim","Müslüman"
"terbiye-i İslâmiye","İslâm terbiyesi"
"an'anât-ı milliye ve İslâmiye","millî ve İslâmî gelenekler, âdetler"
"lâkayt","duyarsız"
"nefs-i emmâre","insanı daima kötülüğe, yasak zevk ve isteklere sevk eden duygu"
"taharrî","araştırma, inceleme"
"kat'iyen","kesin olarak"
"menetmek","yasaklamak"
"mübareze","karşı koyma"
"meşguliyet","uğraşma"
"ittiham etmek","suçlamak"
"himaye etmek","korumak"
"hukuk","haklar"
"muhafaza etmek","korumak"
"numune","örnek, misâl"
"beyan etme","açıklama"
"ezcümle","meselâ, örneğin"
"Arabî","Arapça"
"risale","küçük çaplı kitap"
"banknot","lira mânâsındaki para birimi"
"tab'","baskı, basma"
"nüsha","kopya"
"taharrî","araştırma, inceleme"
"âdi","basit"
"muhabere","haberleşme"
"suret","biçim, şekil"
"haysiyet","itibar"
"nümune","örnek, misal"
"zaif","zayıf"
"beraat","temize çıkma, suçsuz olduğunun anlaşılması"
"vaziyet","durum, hâl"
"vilâyet","il"
"hamiyet-i milliye","millî onur ve haysiyet; din ve vatan gibi değerleri koruma duygusu ve gayreti"
"mevhum","gerçekte olmadığı halde var sayılan"
"hikmet","amaç, gaye; her şeyin yerli yerinde yapılması"
"hâkimiyet","egemenlik"
"acip","acayip, tuhaf"
"hâlet","durum, hâl"
"tenezzül etme","inme, alçalma"
"muttali","haberdar"
"dalâlet","hak yoldan ayrılma, sapkınlık"
"fenalık","kötülük"
"cehalet","cahillik"
"def etme","giderme, uzaklaştırma"
"izale","giderme"
"müşkül","zorluk, engel"
"nesl-i âti","gelecek nesil"
"cihet","yön"
"kesretli","pek çok"
"muarız","karşı gelen, muhalif"
"feylesof","filozof; felsefe ile uğraşan, felsefeci"
"cerh etme","çürütme"
"merkez-i hükûmet","yönetim merkezi, Ankara"
"ehl-i vukuf","bilirkişi"
"ecza","cüzler, parçalar"
"mes'ul","sorumlu"
"ehl-i dikkat","dikkat sahipleri"
"şakirt","öğrenci, talebe"
"kanaat-i kat'iye","kesin kanaat, fikir"
"İşarât-ı Kur'âniye","Kur’ân’ın işaretleri; Birinci Şuâ"
"ihbarat-ı Gaybiye-i Aleviye ve Gavsiye","Hz.  Ali (r.a.) ve Seyyid Abdülkadir-i Geylânî’nin Risale-i Nur ve Bediüzzaman Said Nursî hakkındaki işaretleri ve bu işaretlerin yer aldığı risaleler; Sekizinci Şuâ ve Sekizinci Lem’a"
"makbuliyet","geçerlilik, kabul edilmişlik"
"muhafaza etmek","korumak"
"tecavüz","haddi aşmak, saldırma, sataşma"
"risale","küçük çaplı kitap; Risale-i Nur’un her bir bölümü"
"saadet","mutluluk"
"merkez-i hükûmet","yönetim merkezi, Ankara"
"vilâyet","il"
"zabıta","polis"
"münasebet","vesile, sebep"
"mahrem","gizli olan, herkese gösterilmeyen"
"gayr-ı mahrem","gizli olmayan"
"evrak","sayfalar, yapraklar"
"mucib-i ceza","ceza gerektiren"
"küllî","büyük ve kapsamlı"
"ehemmiyetli","önemli"
"nazara alma","dikkate alma"
"âdi","basit, sıradan"
"müsadere","yasaklanan bir şeyin kanuna göre elden alınması, toplatılması"
"takviye-i iman","imanı takviye etme, kuvvetlendirme"
"biçare","çaresiz"
"nazara alma","dikakate alma"
"cüz'î","küçük, ferdî"
"mâhiyet","nitelik, özellik"
"hakikat","asıl, esas"
"cihet","şekil, yön"
"sair","başka"
"zındık","dinsiz"
"gazab-ı İlâhî","Allah’ın gazabı, kahrı"
"celb","çekme"
"insaf","merhamet ve adalet dairesinde hareket"
"merhamet","acıma, şefkat"
"tahammül","dayanma, katlanma"
"ihsan eyleme","bağışlama, verme"
"âmin","“Allah’ım kabul eyle”"
"gayr-ı resmî","resmî olmayan"
"tecrid-i mutlak","tam olarak soyutlama, yalnız bırakma"
"meşveret","işlerin istişâre (danışıp görüşme) yoluyla halledilmesi; meclis"
"aziz","çok değerli, izzetli"
"sıddık","çok doğru ve bağlı"
"emrivaki","beklenilmeyen iş, zorlayıcı bir baskı ile bir işi yapmaya mecbur etme"
"iaşe","beslenme, geçim"
"banknot","kâgıt para"
"hane","ev"
"düstur-u hayat","hayat kanunu"
"iktiza etme","gerektirme"
"tab'","baskı, basma"
"sarf etme","harcama"
"ekser","çoğunluk"
"meccânen","ücretsiz, bedava"
"zaruret-i kat'iye","kesin ihtiyaç"
"hususan","bilhassa, özellikle"
"iaşe","beslenme, geçim"
"bedbaht","kötü bahtlı, tahlihsiz; alçak"
"iktisat","gerektiği yerde, gerektiği kadar kullanma; tutumluluk"
"hârikulâde","olağanüstü, şaşırtıcı derecede"
"bereket","Allah’tan gelen bolluk, nimet"
"kâfi","yeterli"
"evham","kuruntular, şüpheler"
"tama’","aşırı arzu, açgözlülük, hırs"
"bid’a","aslen dinde olmayıp sonradan dine zarar verecek şekilde ortaya çıkan şeyler"
"ihlâs","ibadet ve davranışlarda sadece Allah rızasını gözetme; samimiyet"
"âlim","ilim sahibi kimse"
"Radıyallahu Anh","“Allah ondan razı olsun”"
"hakikî","asıl, gerçek, doğru"
"sâfi","arınmış, temiz"
"itham etmek","suçlamak"
"cihet","şekil, yön"
"hakikaten","gerçekten"
"tahayyür","hayrette kalma, ne yapacağını bilememe"
"ziyade","çok, fazla"
"serbestiyet","serbestlik"
"tazyik","baskı, ağırlık"
"kaide","düstur, prensip"
"zaruret","zorunluluk"
"inşaallah","Allah dilerse, izin verirse"
"rey","görüş, fikir, oy"
"havale etme","bırakma, gönderme"
"aziz","çok değerli, izzetli"
"eser-i rahmet","rahmet eseri"
"lem’a-i inayet","Allah’ın ikram ve ihsan parıltıları"
"gayret","hamiyet, şeref, haysiyet"
"izale etme","giderme"
"daimî","devamlı, sürekli"
"sürur","mutluluk"
"hanedan","aile"
"nam","ad, isim"
"aziz","çok değerli, izzetli"
"sıddık","çok doğru ve bağlı"
"melâikeye ait","meleklerin varlığını ispatla ilgili"
"Meyveler","On Birinci Şuâ’da yer alan mes’eleler"
"reis","başkan"
"vekâletname","bir kimsenin vekil olduğunu bildiren noterlikçe tasdik edilmiş, onaylanmış belge"
"tecrid","soyutlama, yalnız başına bırakma"
"tazyik","baskı, ağırlık"
"inayet-i Rabbâniye","Allah’ın inayeti, yardımı"
"medar-ı ibret","ibret vesilesi"
"hilâf-ı âdet","kural dışı olarak; alışılmışın dışında"
"şekvâ","şikâyet"
"suret","şekil, biçim"
"hasbihal","konuşma, sohbet"
"zelzele","deprem, sarsıntı"
"münasebettar","alâkalı, ilgili"
"cihet","yön"
