"kelime","anlam"
"tekâmül","gelişme, mükemmelliğe doğru ilerleme"
"tesis etme","kurma, yapma"
"tevellüd etme","doğma, meydana gelme"
"unsur","madde"
"vüs’at","genişlik"
"zarurî","zorunlu, gerekli"
"zevk-i i’câz","mu’cizeliğin zevki; mu’cize özelliklerle muhatap olan kişinin aldığı mânevî zevk"
"zihniyet","düşünce"
"adem-i delil","delilsizlik, birşeyi ispata yönelik delilin olmaması"
"adem-i medlûl","delilin gösterdiği hüküm ve iddianın olmaması"
"azîm","büyük, yüce"
"berâhin","güçlü deliller, kanıtlar"
"burhan","güçlü delil, sarsılmaz kanıt"
"cüz’iyet","ferdîlik, bireysellik"
"ehl-i hakikat","doğrudan Kur’ân ve Sünnet ışığında ilerleyerek hakikate ulaşan kimseler"
"ehl-i tahkik","gerçeği araştıran ve delilleriyle bilen âlimler"
"fıtrat","yaratılış, mizaç, karakter"
"habl-i metin","sağlam ve kopmayacak kadar güçlü halat"
"hads","güçlü sezgi, seziş, zihnin sonuca çabuk intikal etmesi"
"hads-i mukni","ikna eden güçlü sezgi ve kavrayış"
"hakikat","asıl, esas, gerçek"
"hasebiyle","dolayısıyla, itibariyle"
"hasra gelme","sınırlanma"
"hatar","tehlike"
"huyut-u berahin","delil ipleri"
"icmâ","fikir birliği; bir asırdaki İslâm âlimlerinin herhangi bir mesele üzerinde içtihad ve delile dayanarak varmış oldukları görüş birliği"
"ikame","birşeyin yerine koyma ve yerleştirme"
"iras-ı zarar etme","zarara sebep olma, zarar verme"
"istinad etme","dayanma"
"ittifak","görüş birliği, oy birliği"
"kaim değildir","ayakta durması mümkün değildir"
"karar kılma","güçlü ve sağlam bir şekilde yerleşme"
"kat’iyen","kesin olarak"
"kubbe-i âliye","yüksek ve yüce kubbe"
"mahiyet","asıl nitelik, esas, özellik"
"mâlum","bilinen, belli"
"meâdin","madenler, kaynaklar"
"medlûl","hakkında delil gösterilen, delilin ispat ettiği şey"
"menâbi","kaynaklar"
"menba","kaynak"
"muhakkik","gerçekleri araştıran ve hakikatleri delilleriyle bilen âlim"
"nazar","bakış, göz, yöntem"
"sırr-ı icmâ","icmâ sırrı; ilim yönünden kendilerine güvenilen ve görüşleri dikkate alınan âlimlerin bir meselede ittifak etmeleriyle bağlantılı sır, espri"
"sırr-ı tevatür","tevatür sırrı; yalan söylemesi mümkün olmayan topluluklardan gelen ve doğruluğu kesin olan haberin sırrı, esprisi"
"şehâdât","şâhitlikler"
"tahakkuk-u hakaik","gerçeklerin oluşması, meydana gelmesi"
"tazammun etme","içerme, içine alma"
"tecellî etme","belirme, yansıma"
"teşekkül etme","oluşma, meydana gelme"
"teşhis etme","bir mesele ve hâdisenin özelliklerini belirleme"
"tevatür","yalan söylemesi mümkün olmayan topluluklardan gelen ve doğruluğu kesin olan haber"
"tevehhüm etme","zannetme, kuruntuya kapılma"
"vahdet","birlik; Allah’ın bir olması"
"vâsi","geniş"
"vicdan","insanın içindeki iyiyi kötüden ayırabilen ve iyilik etmekten lezzet duyan ve kötülükten elem alan mânevî bir his"
"vücud","varlık"
"akl-ı nazar","nazarî ve teorik akıl ile bakma"
"bedel","karşılık"
"berâhîn","kesin deliller, güçlü kanıtlar"
"burhan","güçlü delil, sarsılmaz kanıt"
"cedâvil","su yolları"
"cesîm","büyük"
"cetvel","su yolu"
"delil-i kat’î","kesin delil"
"derk etme","algılama, kavrama"
"desatir","prensipler, kurallar"
"eczâ-i âhar","diğer parçalar, kısımlar"
"ednâ","basit, küçük"
"elcevap","bu sorunun cevabı"
"emare","belirti, iz, işaret"
"enbiya","nebiler, peygamberler"
"eşya","varlıklar"
"evâmir-i teşriiye","Allah’ın peygamberleri aracılığıyla insanlara bildirdiği ve yerine getirilmesini istediği emirler"
"fer’","şube, bölüm, dal, kol"
"galebe etme","üstün gelme"
"hads","güçlü sezgi, seziş"
"hakaik","hakikatler, esaslar"
"hakikat","gerçek"
"hakkalyakîn","bizzat yaşayarak elde edilen kesin bilgi"
"hiss-i sâdise-i bâtıniye","insanın içinde ve ruhunda bulunan altıncı his"
"ilham","Allah tarafından insanın kalbine indirilen mânâ"
"inkişaf","açığa çıkma"
"insî","insan cinsinden olan, insan"
"istidlâlât","delil getirme, akıl yürütme, çıkarımda bulunma"
"ittisâl","bitişme, birleşme"
"kâfir","Allah’ı veya Allah’ın bildirdiği kesin şeylerden birini inkâr eden kimse"
"kasır","eksik, kısa"
"mahall-i iman","imanın yeri"
"matlab","istenen, hedeflenen"
"menba","kaynak"
"menfî","olumsuz, negatif"
"nazar","göz, bakış açısı, yöntem"
"nazar-ı aklî","akıl gözü"
"nev’i","tür, çeşit"
"nûrun alâ nur","nur üstüne nur, güzelden de güzel, iyiden de iyi"
"sıfat-ı kelâm","konuşma niteliği; Allah’ın hiçbir vasıtaya ve sebebe ihtiyaç duymaksızın dilediği şekilde konuşma sıfatı"
"şûbe","bölüm, kısım"
"şübehât","şüpheler, tereddütler"
"tâbir etme","ifade etme"
"takviye etme","güçlendirme, destek verme"
"tasfiye etme","arındırma, süzme"
"tavzih etme","açıklama"
"tebeyyün etme","açıklığa kavuşma"
"teferrû etme","birçok kollara ayrılma"
"tenevvür etme","nurlanma, aydınlanma"
"teşaubât","birbirinden ayrılmış dallar, kollar"
"tetkik","inceleme, araştırma"
"tezayüd etme","artma"
"vahiy","Cenâb-ı Hak tarafından Cebrail (a.s.) vasıtası ile peygamberlere gelen bilgi"
"zulümat","karanlıklar"
"ağlebi","çoğunluğu"
"âhiret","öldükten sonra yaşanacak olan sonsuz hayat"
"atâlet","tembellik, hareketsizlik"
"cereyan","akım, hareket"
"cinnet-i müstevliye","istilâ eden, ortalığı kaplayan delilik"
"cünun","delilik"
"desatir-i İslâmiyet","İslâmiyetin düsturları"
"ences","daha pis ve çirkin olan"
"evâmir-i tekviniye","Cenâb-ı Hakkın varlıklar âlemini dilediği şekil ve tarz ile yaratmaya yönelik emirleri"
"galebe","üstün gelme"
"galiben","ağırlıklı olarak, çoğunlukla"
"gâvur","Müslüman olmayan kişi"
"hınzır","domuz"
"hurmet-i ribâ","faizin haram oluşu, dinen yasak oluşu"
"ihtilâl","ayaklanma, kargaşa çıkarma"
"inşikak","bölünme, parçalanma"
"istidraç","inkârcı veya günahkâr kimselere Cenâb-ı Hakkın verdiği olağanüstü özellikler"
"itaat","emre uyma"
"ittihad-ı İslâm","İslâm birliği"
"izale","giderme, ortadan kaldırma"
"kâfir","Allah’ı veya Allah’ın bildirdiği kesin şeylerden birini inkâr eden kimse"
"karz-ı hasen","güzel borç, faizsiz verilen borç"
"kasr","köşk, saray"
"küfür","inkâr, inançsızlık; Allah’ı veya Allah’ın bildirdiği kesin bir hükmü inkâr etme"
"maslahat","fayda"
"musallat etmek","sataştırmak, başa belâ etmek"
"mücazat","ceza"
"mükâfat ve mücazat","ödüllendirme ve cezalandırma"
"mükâfat","ödül"
"müslim","Müslüman"
"necis","pis ve çirkin"
"neş’et etme","doğma, meydana gelme"
"ribâ","faiz"
"sa’y","çalışma, emek"
"sebat","kararlılık"
"sefalet","perişanlık, yoksulluk"
"sermaye","servet, kapital"
"sıfat","özellik, vasıf, nitelik"
"sıfat-ı irade","Cenâb-ı Hakkın dilediğini dilediği şekilde yerine getirme sıfatı"
"şerâit-i sulhiye","barışı ve barış ortamını meydana getiren şartlar"
"tâhir-i mutlak","bütün yönleriyle temiz olan, temizliğine en küçük halel getirecek bir pislik olmayan"
"tathîr","temizleme"
"vücub-u zekât","zekâtın farz oluşu"
"ziyade","çok, fazla"
"cemiyet","topluluk"
"cenup","güney"
"cezâlet","akıcı ve güçlü ifade, güzel anlatım"
"Ceziretü’l-Arap","Arap Yarımadası"
"civanmerdâne","mert ve yüksek cesaret taşıyan bir kişi gibi"
"dahil olma","katılma"
"Devlet-i Osmâniye","Osmanlı Devleti (bk bilgiler – Osmanlı Devleti)"
"dürretü’l-beyzâ","parlak, büyük inci"
"efrad","fertler, bireyler"
"ehl-i tevhid","Allah’ın birliğine ve herşeyin Ondan geldiğine iman edenler"
"el’an","şu anda"
"gaflet","âhirete, Allah’ın emir ve yasaklarına duyarsız davranma hâli, umursamazlık"
"garb","batı"
"gayr-ı meş’ûr","bilincine varılmayan"
"haceru’l-esved","Kâbe’nin bir köşesinde yer alan ve Cennetten geldiği bildirilen siyah taş"
"halâvet","şirinlik, tatlılık, hoşluk"
"hamiyet","din, millet, aile gibi değerleri koruma duygusu ve gayreti"
"hasıl olma","meydana gelme"
"hayâ","utanma, ar; kişinin sıkılmasıyla yüzde oluşan kızarma"
"humret","utanma duygusundan dolayı yanaklarda oluşan kızarıklık; utanma"
"hürmet","saygı"
"ifaza-i nur","nur verme ve feyiz verme"
"ihtizaza getirme","harekete geçirme"
"ittihad","birleşme, birlik"
"ittihad-ı İslâm","İslâm birliği"
"ittihad-ı münevver-i İslâm","İslâmın nurlu birliği; tüm dünyayı aydınlatan İslâm birliği"
"Kâbe","burada İslâm birliği kastediliyor"
"Kâbe-i Mükerreme","yüce, mukaddes Kâbe"
"kâbe-i saadet","saadet ve mutluluğa ulaştıran ana yön, merkez"
"kanun-u esasî","temel kanun, Anayasa"
"Kur’ân-ı azîmüşşân","şan ve şerefi büyük ve yüce olan Kur’ân"
"mâbeyninde","arasında"
"mâsumâne","günahsızca, suçsuz olarak"
"meclis-i nuranî","nurânî meclis, nurlu ve büyük şahsiyetlerin katıldığı topluluk"
"medaris","medreseler, okullar; Osmanlı döneminde dinî eğitim veren yüksek öğretim kurumları"
"Medine-i medeniyet-i münevvere","nurlu medeniyet şehri olan Medine"
"mehâsin-i ahlâk","ahlâk güzellikleri"
"Mekke-i Mükerreme","şerefi ve değeri çok yüksek olan Mekke"
"melâhat","güzellik, tatlılık"
"merbut","bağlı, bağlantılı"
"mesacid","mescidler, camiler"
"misâk-ı ezeliye","ezelde gerçekleşen sözleşme; bütün ruhların kendilerini yaratan Allah’a iman ve emirlerini yerine getireceklerine dair yaptıkları yemin"
"mümted","uzanan"
"nakış","işleme, süsleme"
"nâşi","meydana gelen, ortaya çıkan"
"neş’et etme","doğma, ortaya çıkma"
"peyman","yemin, and"
"rabıta-i metin","sağlam, kuvvetli bağ"
"rabıta-i nuraniye","nurlu bağlantılar"
"rahmet","merhamet, şefkat"
"Ravza-i Mutahhara","Peygamber Efendimizin (a.s.m.) kabri ile minberi arasındaki temiz ve şerefli alan, Peygamber Efendimizin mescidi"
"reis","başkan, lider"
"Resul-i Ekrem","Allah’ın en şerefli ve değerli elçisi olan Hz. Muhammed (a.s.m.)"
"revâbıt","bağlar"
"ruhânî","mânevî, ruhla bağlantılı"
"rumuz","remizler; işaretler"
"secâyâ","güzel huy ve karakterler"
"sûret","biçim, şekil"
"şark","doğu"
"şimal","kuzey"
"şuurî","bilinçli şekilde, şuurla"
"tarik","yol"
"tekâya","tekkeler"
"tevellüd etme","doğma, meydana gelme"
"zevâyâ","zâviyeler"
"ziynet","süs"
"aşk-ı şebâbî","gençlik aşkı, gençlikte bulunan aşk"
"cehl","cahillik, bilgisizlik"
"cemâl-i mücellâ","parlak ve ışıltılı güzellik"
"cevab-ı müskit","soru soranı susturan cevap"
"dessas","hilebaz, aldatıcı"
"deva","tedavi, ilâç"
"din-i Muhammed","Hz. Muhammed’in (a.s.m.) bütün insanlığa tebliğ ettiği din, İslâmiyet"
"elvân-ı seb’a","yedi renk"
"ferah-ı seherî","yeni bir günün müjdesi olan seher vaktinin sevinç ve huzuru"
"garb","batı"
"hakikat","asıl, esas, gerçek"
"hayasız","utanmaz, edepsiz"
"hurmet-i ribâ","faizin haram olması, dinen yasaklanması"
"hüsn-ü mücerred","kusur ve noksanlıktan arınmış güzellik"
"hüzn-ü gurubî","sevilen ve bağlanılan herşeyin batıp gitmesinden ortaya çıkan hüzün"
"imtizac-ı efkâr","fikirlerin, düşüncelerin uyuşması, birleşmesi"
"imtizaç etme","birbiriyle karışma, kaynaşma"
"istifham-ı istihfaf","hafife alır tarzda sorgulama"
"istikamet","doğruluk"
"ittihad","birlik, bütünlük"
"kâbe-i saadet","mutluluk, saadet merkezi"
"kab-ı kavseyn","Cenâb-ı Hakka en yakın olan makam; burada doğu va batı tüm dünyanın birleştiği ve birbirine çok yaklaştığı yer kastediliyor"
"kavs-ı kuzah","gök kuşağı"
"laîn","lânetlenmiş, lânetli"
"levn","renk"
"levn-i nurânî","nurlu renk"
"marifet","Allah’ı bilme ve tanıma"
"melekûtî","birşeyin aslına, içyüzüne ait"
"mezâhim","sıkıntılar, yığılmalar"
"mezheb","bir mesele ve konuda takip edilen yol ve yöntem"
"mukaddes","kutsal"
"neş’et etme","doğma, meydana gelme"
"papaz","Hıristiyan din adamı"
"semâvî","Allah tarafından olan, İlâhî"
"sual etme","sorma"
"sükût etme","sessiz kalma, susma"
"şark","doğu"
"şevk-i baharî","bahar neşesi"
"şua","ışık kaynağından çıkan ışık telleri; ışın"
"tâk-ı muallâ","yüce, yüksek Kâbe kemeri"
"tecellî etme","yansıma, görünme"
"tevhid","birleme, Allah’ı bir olarak bilme ve ilân etme"
"timsâl","görüntü, yansıma"
"vücub-u zekât","zekâtın farz oluşu"
"ziynet","süs"
"aleyhinde","karşıt olarak"
"cumhur-u avam","halkın çoğunluğu"
"cünud","askerler"
"dehalet etme","sığınma, dahil olma"
"desatir","düsturlar, prensipler, kurallar"
"gaflet","âhirete, Allah’ın emir ve yasaklarına duyarsız davranma hâli, umursamazlık"
"galebe çalmak","üstün gelmek"
"gazi-i şehid","savaşta gazi ve şehid olan"
"hasım","düşman"
"imal etme","üretme"
"isr","tarz, yol, yöntem"
"istimal etmek","kullanmak"
"kâfir","Allah’ı veya Allah’ın bildirdiği kesin şeylerden birini inkâr eden kimse"
"kudsiyet","mukaddes olma, kutsallık"
"küfür","inkâr, inançsızlık, Allah’ı veya Allah’ın bildirdiği kesin şeylerden birini inkâr etme"
"leşker","asker, ordu"
"mahzun","hüzünlü, üzüntülü"
"maymun-u meymun","kutlu ve mübarek maymun"
"mecnun","deli, akılsız"
"mersiye","birisinin ölümü hakkında yazılan, üzüntüyü dile getiren manzume, ağıt"
"meymun-u saîd","kutlu ve mübarek"
"mizan-ı siyaset","siyaset terazisi; siyasi denge"
"muazzam","azametli, büyük"
"mü’min","iman eden, Allah’a ve Onun gönderdiği şeylere inanan"
"mübeşşer","müjdelenmiş olan"
"mücahid","cihad eden"
"müteveccih olma","yönelme"
"nev-i hayvan","hayvan türü"
"rakîb","gözeten; yarışan"
"saîd","mutlu, mesut"
"şark","doğu"
