"fâni","gelip geçici"
"gaflet","dikkatsizlik, umursamazlık; âhirete ve Allah’ın emir ve yasaklarına duyarsızlık hâli"
"giriftar olma","tutulma"
"halihazır","şimdiki zaman"
"hâşâ","asla"
"liyakat","lâyık olma"
"mazi","geçmiş zaman"
"mes’ut","mutlu"
"musibet","belâ, büyük sıkıntı"
"müstakbel","gelecek zaman"
"müteellim","acı çeken"
"mütelezzizâne","lezzet alarak"
"mütemadiyen","sürekli olarak"
"nevi","tür"
"Rab","her bir varlığa muhtaç olduğu şeyleri veren, onları terbiye edip idaresi ve egemenliği altında bulunduran Allah"
"Rahmânü’r-Rahîm","rahmeti bütün kâinatı kuşattığı gibi her bir varlığa da özel rahmet tecellisi olan Allah"
"rahmet","İlâhî şefkat, merhamet"
"selb etmek","ortadan kaldırmak"
"suret","biçim, şekil"
"sürur","mutluluk, sevinç"
"şekvâ","şikâyet"
"tahakküm","baskı, zorbalık"
"tevehhüm etme","kuruntuya kapılma"
"vehim","kuruntu"
"zevâl","gelip geçicilik, yokluk"
"acz","acizlik, güçsüzlük"
"bâki","kalıcı ve devamlı"
"beşerî","insanî"
"cenah","taraf"
"dergâh-ı İlâhiye","Allah’ın yüce katı"
"divane","akılsız, deli"
"ednâ","en aşağı"
"elhamdü lillâh","hamd ve şükür yalnızca Allah’a mahsustur"
"fâni","gelip geçici"
"gaflet","dikkatsizlik, umursamazlık; âhirete ve Allah’ın emir ve yasaklarına duyarsızlık hâli"
"gayr","başka"
"hakikat","doğru gerçek"
"harap etme","yok etme"
"ihtar","uyarı"
"ihtar-ı Rahmânî","Allah’ın şefkât ve merhametle yaptığı uyarılar"
"ikaz","uyarı"
"İlâhî","Allah tarafından olan"
"iltica etmek","sığınmak"
"iltifat-ı Rabbânî","Allah’ın lütfu"
"iltihak etmek","katılmak"
"kâfi","yeterli"
"keffâretü’z-zünub","günahların bağışlanmasına vesile"
"memnunâne","memnun kalarak"
"musibet","belâ, büyük sıkıntı"
"musibet-i diniye","dine gelen belâ"
"muzır","zararlı"
"mükâfât-ı uhreviye","âhirete ait ödül"
"nevi","çeşit"
"nükte","derin ve ince anlamlı söz"
"Rahmet-i İlâhiye","Allah’ın herşeyi kuşatan sonsuz rahmeti"
"rivayet","bir sözü nakletme; Hadis-i Şerifin nakledilmesi"
"suret","şekil"
"şekvâ","şikâyet"
"tahşid etmek","desteklemek, odaklanmak"
"tathir","temizleme"
"zâhirî","görünürde"
"aleyhisselâm","Allah’ın selâmı onun üzerine olsun"
"atâ ender","bolluk ve lûtuf içinde"
"belâ ender","belâ içinde"
"biçare","çaresiz"
"cefâ ender","işkence içinde, sıkıntılı"
"cihan","âlem"
"fenâ ender","yokluk içinde"
"giriftar olma","tutulma, girme"
"hakikat","doğru gerçek"
"hatâ ender","hatâ içinde"
"hazret","hürmet maksadı ile büyüklere verilen ünvan"
"Hazret-i Eyyub",""
"iltica etmek","sığınmak"
"istimal etme","kullanma"
"istimdatkârâne","medet ve yardım istercesine"
"istinad etme","dayanma"
"istirahat-i nefis","kişinin rahat etmesi"
"işmam etme","hissettirme"
"itirazkârâne","itiraz eder gibi"
"ittiham etmek","suçlamak"
"izale etme","giderme, ortadan kaldırma"
"kader","Allah’ın ezelî ilmi ile kâinatta olacak herşeyi bilip takdir etmesi"
"Kazâ","olacağı Allah tarafından bilinen ve takdir olunan şeylerin zamanı gelince yaratılması"
"lâkayt","ilgisiz"
"musibet","belâ, büyük sıkıntı"
"muterizâne","itiraz eder şekilde"
"münâcât","Allah’a yalvarış, duâ"
"müştekiyâne","şikâyet eder gibi"
"mütezellilâne","kusur ve güçsüzlüğünü anlayarak"
"nazar","bakış"
"nevi","çeşit"
"örs","üzerinde demir ve benzeri madenler dövülen çelik yüzeyli, kalın ve bir tarafı sivri alet"
"rahîmiyet","herbir varlığa rahmetiyle özel tecelli ediciliği"
"rahmet","İlâhî şefkat, merhamet"
"rıza","hoşnud olma, kabullenme"
"rububiyet","Allah’ın bütün varlık âlemini kuşatan egemenliği, yaratıcılığı, idaresi ve terbiyesi"
"safâ ender","huzur ve rahatlık içinde"
"şekvâ","şikâyet"
"tebeddül","değişme"
"tefekkür-ü kalbîye","kalp ile yapılan tefekkür"
"tehacüm","hücum etme"
"tevekkül","Allah’a dayanma ve güvenme"
"tezyid etme","arttırma"
"ubudiyet","kulluk"
"zikr-i lisanî","Allah’ı dille anmak"
"adâvet","düşmanlık"
"âhiret","öldükten sonraki sonsuz hayat"
"bahtiyar","talihli, mutlu"
"çendan","gerçi"
"dünyevî","dünya ile ilgili"
"ebedî","sonsuz"
"emsal","benzer"
"eşhas","kişiler"
"fâni","gelip geçici, ölümlü"
"gaflet","sorumsuzluk, âhiretten ve Allah’ın emir ve yasaklarından habersiz davranma"
"hâlet","durum, hâl"
"hasım","düşman"
"husumet","düşmanlık"
"iras etmek","vermek, bırakmak"
"lûtf-u İlâhî","Allah’ın lütuf ve ikramı"
"merbutiyet","bağlılık"
"musalâha","barışma"
"musibetzede","musibete uğrayan"
"mübareze","karşılıklı mücadele, çatışma"
"nevi","tür, çeşit"
"nimet-i İlâhiye","Allah’ın nimeti"
"sair","diğer"
"sefahet","yasak zevk ve eğlenceye düşkünlük"
"vazife-i diniye","dini görev"
"âlâm","elemler, acılar"
"âlem-i asgar","en küçük âlem"
"esmâ-i İlâhi","Allah’ın isimleri"
"fakr","muhtaçlık"
"halk etme","yaratma"
"hâtime","sonuç, son söz"
"ifa etme","yerine getirme"
"ilânnâme","duyuru"
"iltica","sığınma"
"insan-ı ekber","büyük insan"
"istimdat","yardım isteme"
"kaside-i manzume-i Sübhâniye","bütün noksanlıklardan uzak olan Allah’ın hassas ölçülerle düzenli bir şekilde yazdığı kaside"
"levh-i misâlî","maddî âlemdeki olayların ve varlıkların üzerinde yansıdığı mânevî levha"
"lezâiz","lezzetler"
"mahiyet-i insaniye","insanın temel özelliği"
"makine-i insaniye","bir makine hükmünde olan insanın beden ve cihazları"
"muharrik","harekete geçirici"
"mukadderât-ı hayat","kader kalemiyle yazılmış hayat programları"
"musibet","belâ, büyük sıkıntı"
"müheyyiç","heyecan verici"
"mükâfât","ödül"
"münderiç","yerleştirilmiş"
"müteharrik","hareketli"
"nâfi","faydalı"
"nihayetsiz","sınırsız"
"nukuş-u esmâ","İlâhî isimlerin nakışları"
"rahmet","İlâhî şefkat, merhamet"
"sahife-i hayat","hayat sayfası"
"sair","başka"
"sevk etme","gönderme"
"tazammun eden","içeren"
"tehyiç etme","heyecanlandırma"
"vazife-i fıtrat","yaratılıştan gelen görev"
"alâkadar","alâkalı, ilgili"
"ameliyat-ı cerrâhiye","cerrahî operasyon, ameliyat"
"âyet","Kur’ân’ın her bir cümlesi"
"azîm","büyük, yüce"
"beyan etme","açıklama"
"derc edilmek","yerleştirilmek"
"düstur","kural, kanun"
"ekserî","çoğunluk"
"hadsiz","sınırsız"
"hakikat","doğru gerçek"
"hakikat-i mühimme","önemli gerçek"
"hatme-i mahsus","Kur’ân’dan veya hadisten alınan belirli duaları okuyup bitirmek"
"hatme-i Nakşiye","Nakşî tarikatı mensuplarının okuyup bitirdikleri belirli dualar"
"his","duygu"
"istidad-ı muhabbet","sevme kabiliyeti"
"itibarıyla","açısından"
"lem’a","parıltı"
"mahiyet-i câmiiyet/mahiyet-i câmia","pek çok özelliği üzerinde toplayan kapsamlı yapı"
"mâsivâ","Allah’ın dışındaki varlıklar"
"meâl","açıklama, anlam"
"mevcudat","varlıklar"
"mizan","ölçü, denge"
"muhabbet","sevgi"
"muhtasar","kısa, özet"
"müraat etme","uyma"
"Nakşî","Nakşibendî tarikatine bağlı olan"
"nükte","ince ve derin mânâlı söz"
"rüesa","reisler, önde gelenler"
"tecrit etme","soyutlama, ayırma"
"umum","bütün"
"alâka","ilgi"
"alâka-i kalb","kalben bağlılık"
"azâp","acı, sıkıntı, ceza"
"bâki","devamlı, kalıcı"
"bedel","karşılık"
"bekà","devamlılık, kalıcılık"
"cemal","güzellik"
"cemâl-i bâki","devamlı ve kalıcı güzellik"
"ceriha","yara, hastalıklı uzuvlar"
"cihet","taraf, yön"
"ebed","sonsuzluk"
"ebedî","sonu olmayan, sonsuz"
"ezelî","başlangıcı olmayan, sonsuz"
"fâni","geçici olan, ölümlü"
"firâk","ayrılık"
"hadsiz","sınırsız, sonsuz"
"hâlet","durum, hâl"
"hane","ev"
"hasr-ı muhabbet","sevgiyi bir şeye odaklama"
"hüsün","güzellik"
"ibkà","devamlılık özelliği verme"
"ihsan","bağış, iyilik, lûtuf"
"istidad-ı muhabbet","sevme kàbiliyeti"
"itikad etme","kesin inanma"
"kat-ı alâka","ilgiyi kesmek"
"kemal","mükemellik, olgunluk"
"mahbubat","sevilenler"
"Mahbub-u Bâkî","sonsuz sevgili olan Allah"
"mahbup","sevgili"
"mâlik","sahip"
"mânâ","anlam"
"mânevî","mânâya ait, maddî olmayan"
"mâsivâ","Allah’tan başka varlıklar"
"medar","sebep, kaynak"
"mevcudat","varlıklar"
"muhabbet","sevgi"
"sarf etme","harcama"
"sebeb-i muhabbet","sevginin sebebi"
"sû-i istimal","birşeyi kötüye kullanma"
"teberri etme","uzak durma"
"tevcih etme","yöneltme"
"tiryak","derman, ilâç"
"umumiyetle","genellikle"
"adalet","hak sahibine hakkını verme, haksızı cezalandırma"
"âlem","dünya, evren"
"âlem-i bekà","devamlı ve kalıcı olan âhiret âlemi"
"arzu-yu bekà","devamlı ve kalıcı olma arzusu, sonsuz yaşama isteği"
"aşk-ı bekà","ebedî hayata olan aşk ve sevgi"
"Bâkî","varlığı devamlı olan Allah"
"Bâkî-i Hakikî","gerçek mânâda varlığı sonsuza kadar devam eden Allah"
"Bâkî-i Zülcelâl","Kendi varlığı sonsuza kadar devam eden, sonsuz haşmet sahibi olan Allah"
"bekà","devamlılık, kalıcılık"
"cihet","taraf, yön"
"cilve-i Esmâ-i Hüsnâ","Allah’ın güzel isimlerinin varlıklardaki yansıması,  görüntüsü"
"cüz’î","az, küçük, ferdî"
"daimî","devamlı, sürekli"
"ebedî","sonsuz"
"envâ-ı mat’umat-ı leziziye","lezzetli, çeşit çeşit yiyecekler"
"esmâ","isimler"
"fâni","geçici olan"
"Fâtır-ı Kerîm","sonsuz kerem ve lütuf sahibi olan ve varlıkları benzersiz olarak yoktan yaratan Allah"
"feryat","bağırıp çağırma"
"fıtrat","yaratılış, mizaç"
"fıtrî","doğal, yaratılıştan gelen"
"firâk","ayrılık"
"hadsiz","sınırsız, sayısız"
"hakikat","asıl, esas, gerçek mahiyet"
"Hâlık-ı Rahîm","herşeyi yaratan ve herbir varlığa özel rahmet tecellisi olan Allah"
"halk etmek","yaratmak"
"hâşâ","asla öyle değil"
"hikmet","herşeyin bir fayda ve gayeye yönelik olarak, tam yerli yerinde olma, yaratılma"
"icad","var etme, yaratma"
"ihtiyac-ı fıtrî","yaratılıştan gelen doğal ihtiyaç"
"işârât","işaretler, belirtiler"
"kàl","söz"
"kemâlât","kusursuz özellikler, mükemmellikler"
"kudret","güç, iktidar"
"kuvve-i vâhime","olmayan birşeyi var gibi gösterme duygusu"
"küllî","geniş ve kapsamlı"
"lisan-ı hal","hal ve beden dili"
"mahiyet-i insaniye","insanın öz yapısı"
"mahsus","özgü, has"
"mazhar","nail olma, erişme"
"muhabbet etmek","sevmek"
"muvakkat","geçici"
"nev","çeşit, tür"
"nev-i beşer","insanlar"
"nükte","ince ve derin anlamlı söz"
"peydâ etme","oluşturma, kazanma"
"rahmet","şefkat, merhamet, bağış"
"sarf olunan","harcanan"
"sebeb-i vücud","varlık sebebi"
"şedit","şiddetli"
"tevehhüm etmek","sanmak, zannetmek"
"tevehhüm-ü bekà","sonsuza kadar yaşayacağını sanmak"
"umum","bütün"
"umumî","genel"
"zevâl","geçicilik, yokluk"
"arzu-yu bekà","devamlı ve kalıcı olma arzusu, sonsuz yaşama isteği"
"bâki","devamlı olan, kalıcı"
"Bâkî-i Hakikî","gerçek mânâda sonsuza kadar varlığı devam eden Allah"
"bekà","sonsuzluk"
"cihet","taraf, yön"
"cisim","beden"
"daire-i azîme","büyük daire, alan"
"daire-i hayat","hayat alanı"
"daire-i vücud","varlık dairesi"
"ebedî","sonu olmayan, sonsuz"
"ehl-i gaflet","âhirete, Allah’ın emir ve yasaklarına karşı duyarsız olanlar"
"fâni","geçici, ölümlü"
"fenâ","geçici olma"
"fıtrat","yaratılış, mizaç"
"firâk","ayrılık"
"hadsiz","sınırsız, sayısız"
"hakikat","asıl, esas, gerçek mahiyet"
"hayat-ı kalbî ve ruhî","kalbin ve ruhun hayatı"
"intaç etme","sonuç verme"
"istidad","yetenek"
"lâyemut","ölümsüz"
"mâdum","yok, hiç olmuş"
"marifet","Allah’ı tanıma ve bilme"
"marifet-i İlâhiye","Allah’ı bilme ve tanıma"
"marziyât-ı Rahmâniye","Allah’ın rızasına uygun olan şeyler"
"mazi","geçmiş zaman"
"medar","dayanak noktası, kaynak"
"mevcudat","varlıklar"
"meyyit","ölü, cenaze"
"muhabbet","sevgi"
"muhabbet-i Rabbâniye","Allah sevgisi"
"muhalif","aykırılık gösteren"
"müstakbel","gelecek zaman"
"mütedahil","iç içe"
"mütefavit","çeşitli, farklı"
"nefis","maddî lezzetlere düşkün olan duygu"
"rıza","memnuniyet, hoşnutluk"
"sür’at","hız"
"tazammun etme","içine alma, kapsama"
"tesirat","tesirler, etkiler"
"ubudiyet-i Sübhâniye","bütün kusur ve noksanlıklardan uzak olan  Allah’a edilen kulluk"
"zâhiren","dış görünüş itibariyle"
"zeval","sona erme, yokluk"
"zevâl-i eşya","varlıkların kaybolup gitmesi"
"bâki","devamlı ve kalıcı olan"
"Bâkî-i Hakikî","gerçek anlamda varlığı sonsuza kadar devam eden Allah"
"Bâkî-i Zülcelâl","varlığı sonsuza kadar devam eden ve sonsuz heybet ve haşmet sahibi olan Allah"
"bekà","devamlılık, kalıcılık"
"bilfiil","fiilen, uygulamalı olarak"
"cilve","yansıma"
"çendan","gerçi"
"daimî","sürekli"
"dalâlet","hak yoldan ayrılma, sapkınlık"
"esefli","üzüntü ve acı verici"
"fâni","geçici olan"
"fıkra","kısa yazı"
"firâk","ayrılık"
"gaflet","sorumsuzluk, âhiretten ve Allah’ın bildirdiği şeylerden habersiz davranma"
"hadsiz","sınırsız"
"hasretli","hasret dolu"
"iktiza etme","gerektirme"
"insaniyet","insanlık"
"kalb-i insanî","insan kalbi"
"lieclillâh","Allah rızası için"
"lillâh","Allah için"
"livechillâh","Allah için"
"mazhar olma","erişme, ulaşma"
"mazi","geçmiş zaman"
"mevcudat","varlıklar"
"meyvedar","meyveli"
"muhabbet","sevgi"
"münasebet","ilişki, bağlantı"
"müstakbel","gelecek zaman"
"müteveccih olma","yönelme"
"pencere-i visal","kavuşmayı sağlayan pencere"
"rıza","memnuniyet, hoşnutluk"
"sahih","doğru, sağlıklı"
"sarf etme","kullanma, harcama"
"sukut etmek","düşmek, alçalmak, işlevini yitirmek"
"suret","biçim, görünüş"
"süflî","alçak"
"tahribat","yıkıp bozma işlemleri"
"tebdil etmek","değiştirmek"
"tevfik-i hareket","uygun hareket"
"teyid etmek","desteklemek"
"visâl","ulaşma, kavuşma"
"zerre","atom"
"ahvâl","hâller, durumlar"
"âlem","dünya, kâinat"
"bâki","devamlı, kalıcı"
"bast-ı zaman","zamanın uzaması, bereketlenmesi; az bir zamanda çok uzun bir zaman yaşamış gibi olmak"
"bekà","devamlılık, kalıcılık"
"beyne’l-evliya","Allah’ın sevgili kulları arasında"
"bilfiil","fiilen, uygulamalı olarak"
"bina etme","üzerine kurma"
"cilve","görünme, yansıma"
"çendan","gerçi"
"düstur-u muhakkak","kesinlik kazanmış kural"
"ehl-i hak","hak ve doğru yolda olan kimseler"
"ehl-i velâyet","veliler, Allah dostları"
"elhasıl","özet olarak"
"esmâ","isimler"
"fâni","geçici, ölümlü"
"hadise","olay"
"hadsiz","sayısız"
"halk edilmek","yaratılmak"
"hatme-i Kur’âniye","Kur’ân-ı Kerimi baştan sona okuyup bitirme"
"ihata","içine alma, kapsama"
"ihbar etmek","haber vermek"
"kesret","çokluk"
"kizb","yalan söyleme, uydurma"
