"kelime","anlam"
"nazar-ı dikkati celb etme","dikkat çekme"
"nefer","asker, er"
"Risaletü’n-Nur","Risale-i Nur’un diğer bir adı"
"sırr-ı tesanüd","dayanışma sırrı"
"şahs-ı mânevî","mânevî şahıs, belli bir ideal ve gaye etrafında bir araya gelen topluluğun oluşturduğu mânevî şahsiyet ve ortak kimlik"
"şakirt","talebe, öğrenci"
"şerait","şartlar"
"tasdik etme","onaylama, doğrulama"
"ümmet","Hz. Peygambere inanıp onun yolundan giden mü’minler"
"vazifeten","vazife yönünden"
"ziyade","çok, fazla"
"akîm","neticesiz, sonuçsuz"
"asabî","sinirle ilgili"
"aziz","izzetli, çok değerli, saygın"
"berekât","bereketler"
"fevkalâde","olağanüstü, çok güzel"
"hadsiz","sayısız, sınırsız"
"Hâlık-ı Rahîm","Merhametli Yaratıcı; sonsuz merhamet ve şefkat sahibi olan ve herşeyi yaratan Allah"
"haps-i münferit","tek başına hapis, hücre hapsi"
"hasene","iyilik, sevap"
"hâsiyet","özellik, hususiyet"
"haslar","özel kişiler; ileri gelen mühim yakınlar topluluğu"
"hatar","tehlike"
"hatarat","akla gelen fikirler"
"hususan","bilhassa, özellikle"
"ihsan etme","bağışlama, ikram etme, verme"
"ihtiyarsız","irade dışı, istemeden"
"ilm-i usul","bir işin nasıl yapılacağını gösteren ilim; metodoloji"
"iltifat","iyilik ve güzellikle muamele"
"inâyet-i İlâhiye","Allah’ın inâyeti, yardımı"
"karye","köy; nahiyeden küçük olan yerleşim yeri"
"kesif","yoğun, katı"
"kıymettar","kıymetli, değerli"
"küfrî","inkârcılığa ait; inkâr ve inançsızlığa sebep olan iş, söz"
"mes’udâne","mutlu bir şekilde"
"misal","görüntü"
"muhabere","haberleşme, konuşma"
"mübarek","hayırlı, değerli"
"mücahede","cihad etme; mücadele etme"
"müfarakat","ayrılık"
"nuranî","nurlu, aydınlık"
"rahmet","İlâhî şefkat, merhamet ve ihsan"
"sair","diğer, başka"
"seyyie","günah, kötülük"
"sıddık","çok doğru ve sadık"
"suikasıt","kötü kasıt"
"suret","şekil, resim"
"şetm","çirkin söz, kötü düşünce"
"şükür","nimetlere karşı memnunluk gösterme, Allah’a teşekkür etme"
"tahayyül","hayale getirme"
"tahayyül-ü şetm","çirkin ve kötü şeyleri hayal etme"
"tasavvur","düşünme"
"tasavvur-u küfür","küfrü düşünme, hayal etme"
"tazyik","baskı"
"tecrid","bir kişinin yalnız başına bırakılması, insanlarla görüştürülmemesi"
"teellümât-ı ruhaniye","ruhun çektiği elemler, acılar"
"temessül eden","görüntü şeklinde yansıyan"
"teşrik etme","katma, ortak etme"
"timsal","aynadaki görüntü; akis"
"umum","bütün"
"vefâkâr","vefâlı; sözünde ve dostluğunda devamlı olan"
"vehmî","olmayan bir şeyi var gibi kabul etme"
"ziya","ışık, parlaklık"
"amel","davranış, iş"
"bereket","bolluk"
"beyan","açıklama"
"celâl","büyüklük, azamet, haşmet"
"cemâl","güzellik"
"defter-i a’mâl","amel defteri"
"düstur-u meşhur","meşhur düstur, kural"
"ehl-i hakikat","doğru ve hak yolda olan kimseler"
"emn","eminlik, güven"
"evvel","önce"
"fevkalâde","olağanüstü, çok güzel"
"haşiye","dipnot"
"havf","korku"
"hazin","hüzün veren, acıklı"
"hikmet","sebep, sır, gaye"
"ihtiyat","önlem alma, tedbirli hareket etme"
"imamet","imamlık"
"intibah ehli","uyanık olanlar; hak ve hakikati anlayıp yanlıştan dönenler"
"intisap eden","mensup olan, bağlanan"
"istimâl etme","kullanma"
"istinsah etme","nüshasını çıkarma, çoğaltma"
"iştiyak","kuvvetli arzu; şevkle ve istekle yönelme"
"izale etme","giderme, ortadan kaldırma"
"kabz-bast hâlet","kalbin bir açılıp genişlemesi, bir kapanıp kısırlaşması hâlleri"
"karye","köy; nahiyeden küçük olan yerleşim yeri"
"kâtip","yazıcı"
"kemâl-i sadakat","tam bağlılık"
"kıymettar","kıymetli, değerli"
"lûtf-u bereket","bereket lûtfu, güzelliği"
"medâr-ı hayret","hayret veren"
"medâr-ı terakki","yükselme, ilerleme sebebi"
"mesrur etme","sevindirme"
"mesrurâne","sevinçli bir şekilde"
"muvazene","denge, ölçü"
"mübarek","hayırlı, değerli"
"müferrah etme","ferahlatma"
"mütemadiyen","sürekli olarak"
"Rabbanî","Rab olan Allah’a ait"
"recâ","ümit"
"risale","küçük çaplı kitap; Risale-i Nur’un bölümlerinden her birisi"
"Risaletü’n-Nur","Risale-i Nur’un diğer bir adı"
"ruhsat","izin, müsaade"
"sebat","kararlılık"
"sıhhat","sağlık, sağlamlık"
"suret","biçim, şekil"
"şehadet","şahidlik, tanıklık"
"şükür","nimetlere karşı memnunluk gösterme; Allah’a teşekkür etme"
"takdir","beğeniyi dile getirme"
"tecellî","yansıma"
"varta","tehlike"
"ye’s","ümitsizlik"
"âmin","“Allah’ım kabul eyle”"
"aziz","izzetli, çok değerli, saygın"
"bilhassa","özellikle"
"Cenâb-ı Hak","Hakkın ta kendisi olan sonsuz şeref ve yücelik sahibi Allah"
"ebeden","sonsuza dek"
"ehemmiyetli","önemli"
"emvât","ölüler"
"fedâkâr","önem verilen bir şey uğrunda değerli şeyleri gözden çıkaran, kendini fedâ eden"
"hakikat","gerçek, doğru"
"hâlis","içten, katıksız, samimi"
"hâlisâne","ihlâslı bir şekilde, samimî, içten"
"hizmet-i Kur’âniye ve imaniye","iman ve Kur’ân hizmeti"
"ihtiyat","önlem alma, tedbirli hareket etme"
"ihvan","kardeşler"
"irsal edilme","gönderilme"
"irsâlât","gönderilenler"
"itimat eden","dayanan, güvenen"
"kesretli","çok"
"kıymettar","kıymetli, değerli"
"maatteessüf","üzülerek, ne yazık ki"
"medâr-ı tesellî","teselli kaynağı"
"muhabere","haberleşme, konuşma"
"mukabil","karşılık"
"muktedir","gücü yeten, güç ve iktidar sahibi"
"mübarek","hayırlı, değerli"
"münafık","iki yüzlü; inanmadığı halde inanmış görünen kimse"
"nazar","bakış"
"risale","küçük çaplı kitap; Risale-i Nur’un bölümlerinden her birisi"
"sadık","doğru sözlü, dürüst"
"sair","diğer"
"tebliğ etme","bildirme"
"teşrik etme","katma, ortak etme"
"umum","bütün"
"vefâdar","vefâlı; sözünde ve dostluğunda devamlı olan"
"vefâkâr","vefalı; sözünde ve dostluğunda devamlı olan"
"vilâyet","il"
"zuhur etme","görünme, ortaya çıkma"
"Âyetü’l-Kübrâ","en büyük delil anlamına gelen ve Risale-i Nur’da yer alan bir bölüm; Yedinci Şua"
"beyan etme","açıklama"
"burhan","kuvvetli delil"
"cemaat","topluluk, grup"
"cihet","yön, taraf"
"def etme","ortadan kaldırma"
"divan","şiir ya da manzume kitabı; şiirlerin toplândığı kitap"
"ekser","çoğunluk, pek çok"
"erkân","rükünler, esaslar"
"erkân-ı iman","imanın esasları, şartları"
"esasat","esaslar, temel prensipler"
"evliya","Allah’ın sevgili kulları, veliler"
"evvel","önce"
"feyiz","ilham; bolluk, bereket"
"fıkra","bölüm, kısım; belli bir düşünceyi anlatmak üzere kaleme alınan yazı; makale"
"has","özel"
"hülâsa","özet"
"ihtiyarsız","irade dışı, istemeden"
"inbisat","genişleme, yayılma"
"inkişaf etme","gelişme, açılma"
"inşirah","ferahlık, sevinç"
"iz’an","şüphesiz, kesin şekilde inanma"
"makamat","makamlar, mertebeler"
"mârifet","Allah’ı bilme ve tanıma"
"mevcut","var olan"
"misal-i musağğar","küçültülmüş nümune"
"mu’cize","bir benzerini yapma konusunda başkalarını âciz bırakan olağanüstü şey"
"muhafaza","koruma"
"mübarek","hayırlı, değerli"
"mütalâa","dikkatle okuma, inceleme"
"mütefekkirâne","tefekkür ederek, düşünerek"
"nam","isim, unvan"
"risale","küçük çaplı kitap"
"Risaletü’n-Nur","Risale-i Nur’un diğer bir adı"
"suret","biçim, şekil"
"şehadet-i tevhidiye","tevhidle ilgili şahitlik, Cenâb-ı Hakkın varlığına ve birliğine şahitlik etme"
"şübehat","şüpheler, tereddütler"
"taarruz","saldırı"
"tahkik","doğruluğunu araştırma"
"ulema","âlimler"
"velî","Allah dostu"
"ziyalanma","aydınlanma"
"aziz","izzetli, çok değerli, saygın"
"bilhassa","özellikle"
"Cenâb-ı Hak","Hakkın ta kendisi olan sonsuz şeref ve yücelik sahibi Allah"
"ebeden","sonsuza dek"
"ehemmiyetli","önemli"
"emvât","ölüler"
"fedâkâr","önem verilen bir şey uğrunda değerli şeyleri gözden çıkaran, kendini fedâ eden"
"hakikat","gerçek, doğru"
"hâlis","içten, katıksız, samimi"
"hâlisâne","ihlâslı bir şekilde, samimî, içten"
"hizmet-i Kur’âniye ve imaniye","iman ve Kur’ân hizmeti"
"ihtiyat","önlem alma, tedbirli hareket etme"
"ihvan","kardeşler"
"irsal edilme","gönderilme"
"irsâlât","gönderilenler"
"itimat eden","dayanan, güvenen"
"kesretli","çok"
"kıymettar","kıymetli, değerli"
"maatteessüf","üzülerek, ne yazık ki"
"medâr-ı tesellî","teselli kaynağı"
"muhabere","haberleşme, konuşma"
"mukabil","karşılık"
"muktedir","gücü yeten, güç ve iktidar sahibi"
"mübarek","hayırlı, değerli"
"münafık","iki yüzlü; inanmadığı halde inanmış görünen kimse"
"nazar","bakış"
"risale","küçük çaplı kitap; Risale-i Nur’un bölümlerinden her birisi"
"sadık","doğru sözlü, dürüst"
"sair","diğer"
"tebliğ etme","bildirme"
"teşrik etme","katma, ortak etme"
"umum","bütün"
"vefâdar","vefâlı; sözünde ve dostluğunda devamlı olan"
"vefâkâr","vefalı; sözünde ve dostluğunda devamlı olan"
"vilâyet","il"
"zuhur etme","görünme, ortaya çıkma"
"Arabî","Arapça"
"asr","yüzyıl"
"Âyetü’l-Kübrâ","en büyük delil anlamına gelen Risale-i Nur’da bir bölüm; Yedinci Şua"
"azîm","çok büyük"
"beyan","açıklama"
"bilhassa","özellikle"
"ehemmiyet","önem, değer"
"ehl-i keşif","maneviyat âlemlerinde iman hakikatlerini gözleme yeteneğine sahip insanlar, veliler"
"emâre","işaret, nişan"
"hakaik-i imaniye","iman hakikatleri, gerçekleri"
"hakikat-i ilmiye","ilmî gerçek"
"haşiye","dipnot"
"heyet-i mecmua","bütünü; bütün parçaların hepsini birden"
"ibadet-i nâfile","farz ve vâcib olmayan ibadet"
"inşaallah","Allah dilerse, izin verirse"
"intişar","yayılma"
"izhar","açığa çıkarma, gösterme"
"kanaat","bir fikre, görüşe ulaşma; görüş, fikir"
"kat’î","kesin, şüphesiz"
"kemâl-i vuzuh","tam bir açıklık"
"keramet","Allah’ın bir ikramı olarak görülen olağanüstü hâl ve hareket"
"keramet-i zâhire","apaçık keramet, görünen keramet"
"keşif","kalb gözüyle görme, mânevî âlemlere ait bazı olayları ve hakikatleri görme"
"mahsus","has, özel"
"menzil","durak, bölüm"
"misal","benzer, örnek"
"Mu’cizât-ı Ahmediye Risalesi","Peygamber Efendimizin (a.s.m.) gösterdiği mu’cizelerin anlatıldığı risale; On Dokuzuncu Mektup"
"mu’cize-i mâneviye-i Kur’âniye","Kur’ân’ın mânevî mu’cizesi"
"muvafık","uygun"
"münasip","uygun"
"mürşid","irşad eden, doğru yolu gösteren"
"müşahede etme","görme, gözlemleme"
"müteaddit","bir çok, çeşitli"
"mütekellimîn","kelâm âlimleri"
"nevi","tür"
"risale","küçük çaplı kitap; Risale-i Nur’un bölümlerinden her birisi"
"Risaletü’n-Nur","Risale-i Nur’un diğer bir adı"
"riyaset","başkanlık"
"sair","diğer, başka"
"sekerat","can çekişme anı"
"suret","biçim, şekil"
"tefekkür","Allah’ı tanımayı sonuç verecek şekilde varlıklar üzerinde düşünme"
"tenvir eden","nurlandıran, aydınlatan"
"vâkıa","olay"
"Âyetü’l-Kübrâ","en büyük delil anlamına gelen ve Risale-i Nur’da yer alan bir bölüm; Yedinci Şua"
"beyan etme","açıklama"
"burhan","kuvvetli delil"
"cemaat","topluluk, grup"
"cihet","yön, taraf"
"def etme","ortadan kaldırma"
"divan","şiir ya da manzume kitabı; şiirlerin toplândığı kitap"
"ekser","çoğunluk, pek çok"
"erkân","rükünler, esaslar"
"erkân-ı iman","imanın esasları, şartları"
"esasat","esaslar, temel prensipler"
"evliya","Allah’ın sevgili kulları, veliler"
"evvel","önce"
"feyiz","ilham; bolluk, bereket"
"fıkra","bölüm, kısım; belli bir düşünceyi anlatmak üzere kaleme alınan yazı; makale"
"has","özel"
"hülâsa","özet"
"ihtiyarsız","irade dışı, istemeden"
"inbisat","genişleme, yayılma"
"inkişaf etme","gelişme, açılma"
"inşirah","ferahlık, sevinç"
"iz’an","şüphesiz, kesin şekilde inanma"
"makamat","makamlar, mertebeler"
"mârifet","Allah’ı bilme ve tanıma"
"mevcut","var olan"
"misal-i musağğar","küçültülmüş nümune"
"mu’cize","bir benzerini yapma konusunda başkalarını âciz bırakan olağanüstü şey"
"muhafaza","koruma"
"mübarek","hayırlı, değerli"
"mütalâa","dikkatle okuma, inceleme"
"mütefekkirâne","tefekkür ederek, düşünerek"
"nam","isim, unvan"
"risale","küçük çaplı kitap"
"Risaletü’n-Nur","Risale-i Nur’un diğer bir adı"
"suret","biçim, şekil"
"şehadet-i tevhidiye","tevhidle ilgili şahitlik, Cenâb-ı Hakkın varlığına ve birliğine şahitlik etme"
"şübehat","şüpheler, tereddütler"
"taarruz","saldırı"
"tahkik","doğruluğunu araştırma"
"ulema","âlimler"
"velî","Allah dostu"
"ziyalanma","aydınlanma"
"aziz","izzetli, çok değerli, saygın"
"cemaat","topluluk, grup"
"elhamdü lillâh","“ezelden ebede her türlü hamd ve övgü, şükür ve minnet Allah’a mahsustur”"
"evc-i âlâ","en üst derece"
"evliya","Allah’ın sevgili kulları, veliler"
"evvel","önce"
"galibâne","galip gelerek"
"hak ve hakikat mesleği","doğrular ve gerçekler üzerine işleyen meslek; Kur’ân yolu"
"hakaik-i imaniye","iman haikatleri, esasları"
"hakikat","gerçek, doğru"
"hâlis","içten, katıksız, samimi"
"imtizac","birleşme, kaynaşma"
"itikad","inanç"
"ittihad","birleşme"
"izale eden","gideren, ortadan kaldıran"
"keşif","kalb gözüyle görme; mânevî âlemlere ait bazı olayları ve hakikatleri görme"
"letâif","lâtifeler, duygular"
"makam","konum"
"medâr-ı tesellî ve sürur","teselli ve mutluluk kaynağı"
"metanet","sağlam duruş, kararlılık"
"misillü","gibi"
"misli","benzeri; katı"
"mu’cize-i Kur’ân","Kur’ân’ın mu’cizesi"
"mukabele etme","karşılık verme"
"mükerrer","tekrarlanmış"
"münasebet","bağlantı, ilişki"
"müşahede etme","görme, gözlemleme"
"mütalâa etme","dikkatle okuma, inceleme"
"mütemerrid","inatçı, dikkafalı"
"nazar","bakış"
"nefs","kişinin kendisi"
"nefs-i emmâre","insanı daima kötülüğe, yasak zevk ve isteklere sevk eden duygu"
"risale","küçük çaplı kitap; Risale-i Nur’un bölümlerinden her birisi"
"Risaletü’n-Nur","Risale-i Nur’un diğer bir adı"
"saadet-i ebediye","sonu olmayan, sonsuz mutluluk"
"sair","diğer"
"sebat","kararlılık"
"sıddık","çok doğru ve bağlı"
"şahs-ı mânevî-i dalâlet","dalâleti mânen temsil eden mânevî şahıs; sapkınlığın tüzel kişiliği"
"şakirt","talebe, öğrenci"
"şakk-ı kamer","Peygamberimizin (a.s.m.) bir işaretiyle Ay’ın ikiye bölünmesi mu’cizesi"
"şükür","nimetlere karşı memnunluk gösterme, Allah’a teşekkür etme"
"taarruz eden","saldıran"
"tahammül","katlanma, yüklenme"
"tasdik","onaylama, kabul etme"
"teavün","yardımlaşma"
"ulema","âlimler"
"vesvese","şüphe, kuruntu"
"zelzele","deprem, sarsıntı"
"aziz","izzetli, çok değerli, saygın"
"cemaat","topluluk, grup"
"elhamdü lillâh","“ezelden ebede her türlü hamd ve övgü, şükür ve minnet Allah’a mahsustur”"
"evc-i âlâ","en üst derece"
"evliya","Allah’ın sevgili kulları, veliler"
"evvel","önce"
"galibâne","galip gelerek"
"hak ve hakikat mesleği","doğrular ve gerçekler üzerine işleyen meslek; Kur’ân yolu"
"hakaik-i imaniye","iman haikatleri, esasları"
"hakikat","gerçek, doğru"
"hâlis","içten, katıksız, samimi"
"imtizac","birleşme, kaynaşma"
"itikad","inanç"
"ittihad","birleşme"
"izale eden","gideren, ortadan kaldıran"
"keşif","kalb gözüyle görme; mânevî âlemlere ait bazı olayları ve hakikatleri görme"
"letâif","lâtifeler, duygular"
"makam","konum"
"medâr-ı tesellîm ve sürurum","teselli ve mutluluk kaynağım"
"metanet","sağlam duruş, kararlılık"
"misillü","gibi"
"misli","benzeri; katı"
"mu’cize-i Kur’ân","Kur’ân’ın mu’cizesi"
"mukabele etme","karşılık verme"
"mükerrer","tekrarlanmış"
"münasebet","bağlantı, ilişki"
"müşahede etme","görme, gözlemleme"
"mütalâa etme","dikkatle okuma, inceleme"
"mütemerrid","inatçı, dikkafalı"
"nazar","bakış"
"nefs","kişinin kendisi"
"nefs-i emmâre","insanı daima kötülüğe, yasak zevk ve isteklere sevk eden duygu"
"risale","küçük çaplı kitap; Risale-i Nur’un bölümlerinden her birisi"
"Risaletü’n-Nur","Risale-i Nur’un diğer bir adı"
"saadet-i ebediye","sonu olmayan, sonsuz mutluluk"
"sair","diğer"
"sebat","kararlılık"
"sıddık","çok doğru ve bağlı"
"şahs-ı mânevî-i dalâlet","dalâleti mânen temsil eden mânevî şahıs; sapkınlığın tüzel kişiliği"
"şakirt","talebe, öğrenci"
"şakk-ı kamer","Peygamberimizin (a.s.m.) bir işaretiyle Ay’ın ikiye bölünmesi mu’cizesi"
"şükür","nimetlere karşı memnunluk gösterme, Allah’a teşekkür etme"
"taarruz eden","saldıran"
"tahammül","katlanma, yüklenme"
"tasdik","onaylama, kabul etme"
"teavün","yardımlaşma"
"ulema","âlimler"
"vesvese","şüphe, kuruntu"
"zelzele","deprem, sarsıntı"
"âhir","son"
"burhan","kuvvetli ve sarsılmaz delil"
"ebedî","sonsuz, sonu olmayan"
"fehim","anlayış, kavrayış"
"hak","doğru, gerçek, asıl"
"hakikat","gerçek, doğru"
"haşir","yeniden diriliş; insanların öldükten sonra âhirette diriltilip Allah’ın huzurunda toplanması ve hesaba çekilmesi"
"hiddet","öfke, kızgınlık"
"hikmet","sebep, sır, gaye"
"icbar edilme","zorlanma"
"ihtar","hatırlatma, uyarı"
"ihtiyar","dileme, istek, irade"
"ihtiyat","önlem alma, tedbirli hareket etme"
"inşaallah","Allah dilerse, izin verirse"
"izah etme","açıklama"
"kâfi","yeterli"
"kuvve-i hafıza","hafıza duygusu, bellek"
"makamat","makamlar, konuyla ilgili yerler"
"mânen","mânevî olarak"
"mu’cize-i Kur’ân","Kur’ân mu’cizesi"
"mukaddeme-i haşriye","âhiretteki, yeniden dirilişin başlangıcı"
"münasip","uygun"
"nam","ad"
"nesholma","hükmü yürürlükten kalkma; hükümsüz olma"
"nispeten","kıyasla, oranla"
"nisyan","unutkanlık"
"remiz","işaret"
"risalet-i Ahmediye","Peygamberimiz Hz. Muhammed’in (a.s.m.) peygamberliği"
"Risaletü’n-Nur","Risale-i Nur’un diğer bir adı"
"şakird","talebe, öğrenci"
"tâcil edilme","çabuklaştırılma, hızlandırılma"
"tahrif olma","hükmü yürürlükten kalkma; bozulma"
"tefsir","açıklama, yorum"
"tehir edilme","ertelenme"
"tekrarat","tekrarlar"
"tezahür etme","belirme, görünme, ortaya çıkma"
"umum","bütün, herkes"
"vecih","yön, şekil"
"Yirmi Dokuzuncu Lem’a-i Arabiye","Arapça olarak telif edilen, Tefekkürname adındaki Yirmi Dokuzuncu Lem’a"
"zekâvet","zekilik"
"aziz","izzetli, çok değerli, saygın"
"düstur","genel kâide, kural"
"ehl-i iman","Allah’a inanan"
"fedakâr","kendini bir hizmete adayan; davası uğrunda değerli şeylerini gözden çıkarabilen"
"fevkalâde","olağanüstü, çok güzel"
"feyiz","bolluk, bereket"
"gaile","sıkıntı, dert"
"hâdisât","hâdiseler, olaylar"
"haşiye","dipnot"
"hıfz-ı Rabbânî","herbir varlığa yaratılış gayelerine ulaşmaları için muhtaç olduğu şeyleri veren, onları terbiye edip idaresi ve egemenliği altında bulunduran Allah’ın koruması"
"himayet","koruma"
"inâyet","Allah’ın yardımı"
"intişar etme","yayılma"
"kasem-i Kur’ânî","Kur’ân’ın kasemi, yemini"
"meşakkat","güçlük, zorluk"
"metanet","sağlam duruş, kararlılık"
"mukabele edilmek","karşılık verilmek"
"mukavemet etme","direnme, dayanma"
"musibet","belâ, felaket, sıkıntı"
"mübarek","hayırlı, değerli"
"nezaret etme","bakma, seyretme"
"niyaz etme","dua etme, yalvarıp yakarma"
"nükte-i gaybiye","gaybî, gizli olan ince işaret"
"rabian","dördüncü olarak"
"rahmet","İlâhî ihsan, bağış"
"rahmet-i Rahmân","rahmet eserleri bütün varlık âlemini kuşatan Allah’ın rahmeti, merhameti"
"Risaletü’n-Nur","Risale-i Nur’un diğer bir adı"
"salisen","üçüncü olarak"
"saniyen","ikinci olarak"
"sebatkâr","sebat eden, kararlı olan"
"seher","tan; sabah olmaya başladığı vakit"
"sehv","yanılma, hata"
"sıddık","çok doğru ve sadık"
"sırren","gizli olarak, gizlice"
"şakirt","talebe, öğrenci"
"şükür","nimetlere karşı memnunluk gösterme, Allah’a teşekkür etme"
"tahakkuk","gerçekleşme"
"ziyade","çok, fazla"
"âciz","güçsüz, zavallı"
"alâkadar","alâkalı, ilgili"
"asabî","sinirle ilgili; sinirsel"
"aziz","izzetli, çok değerli, saygın"
