"saltanat","sultanlık, hükümdarlık"
"mütegayyir","değişen"
"tekemmülsüz","olgunlaşmamış, mükemmelleşmemiş"
"umur","işler"
"müstekar","sabit, yerleşmiş"
"zevâlsiz","son bulmayan"
"müstemir","devamlı, sürekli"
"muhteşem","ihtişamlı, görkemli"
"umur","işler"
"makarr","merkez, karar yeri"
"nevrûz-u sultanî","nevruz bayramı"
"tebeddülât","değişiklikler"
"sahrâ","ova"
"seyran","gezmek"
"ahali","halk"
"harap","yıkılıp yok olmak"
"mucize","bir benzerini yapma konusunda başkalarını âciz bırakan olağanüstü şey"
"harap","yıkılıp yok olmak"
"hâli","boş"
"âlem","dünya"
"sür'atli","hızlı"
"kesretli","çok"
"hakikî","gerçek, doğru"
"intizam","düzen, tertip"
"Hayalî","hayalle ilgili"
"muntazam","düzenli"
"mahir","maharetli, becerikli"
"mucize","bir benzerini yapma konusunda başkalarını âciz bırakan olağanüstü şey"
"tahrip","yıkılma, yok edilme"
"tebdil-i diyar","yer değiştirmek"
"inkılâp","değişim, dönüşüm"
"tebdil","değişim"
"sür'atli","hızlı"
"içtima","toplanma"
"teşkil","yapılma, meydana getirilme"
"tahrip","yıkılma, yok edilme"
"maksat","gaye, amaç"
"içtima","toplanma"
"maksud-u bizzat","asıl gaye"
"temsil","kıyaslama tarzında benzetme, analoji"
"mucize","bir benzerini yapma konusunda başkalarını âciz bırakan olağanüstü şey"
"suret","görüntü, resim"
"terkip","birleştirilme"
"hıfzedilip","saklanmak"
"manevra","deneme ve eğitim"
"meydan-ı imtihan","imtihan meydanı"
"mecma-ı ekber","çok büyük toplanma yeri"
"muamele","iş, davranış"
"meşher-i âzam","çok büyük sergi yeri"
"daimî","devamlı"
"suret","görüntü, resim"
"bâki","devamlı, kalıcı"
"ihtifâlât","merasimler, törenler"
"saadet-i uzmâ","çok büyük mutluluk"
"mahkeme-i kübrâ","öldükten sonra âhirette Allah'ın huzurunda kurulacak olan büyük mahkeme"
"ulvî","yüce, yüksek"
"SURET","görüntü, resim"
"muannid","inatçı"
"tayyare","uçak"
"şark","doğu"
"garb","batı"
"mazi","geçmiş zaman"
"müstakbel","gelecek zaman"
"şimendifer","tren"
"mucizekâr","mu'cize gösteren"
"sair","diğer"
"mucize","bir benzerini yapma konusunda başkalarını âciz bırakan olağanüstü şey"
"menzil","yer, mekan"
"meşher","sergi"
"acaip","hayret verici, şaşırtıcı"
"suretçe","şekilce, biçimce"
"menzil","yer, mekan"
"bekàsız","geçici, sürekli olmayan"
"meşher","sergi"
"bâhir","ap açık"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"intizâmât","düzenlilikler"
"zahir","görünen, açık"
"inâyet","bütün yararların, hikmetlerin ve faydaların kaynağı olan düzenlilik"
"işârât","işaretler"
"mertebe","derece"
"âli","yüce"
"emârât","belirtiler, izler"
"vâsi","geniş"
"semerât","meyveler, neticeler"
"Basiret","görüş, seziş"
"yakinen","kesin olarak"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"ekmel","daha mükemmel"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"inâyet","bütün yararların, hikmetlerin ve faydaların kaynağı olan düzenlilik"
"ecmel","daha güzel"
"inâyet","bütün yararların, hikmetlerin ve faydaların kaynağı olan düzenlilik"
"eşmel","daha kapsamlı"
"ecell","daha görkemli"
"tasavvur","düşünme, hayal etme"
"faraza","varsayalım ki"
"tevehhüm","zannetmek"
"daire-i memleket","memleket dairesi"
"daimî","devamlı"
"menzil","yer, mekan"
"âli","yüce"
"bâki","devamlı, kalıcı"
"mesken","ev, yer"
"mukim","ikamet eden, oturan"
"ahali","halk"
"mes'ud","mutlu"
"raiyet","halk"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"inâyet","bütün yararların, hikmetlerin ve faydaların kaynağı olan düzenlilik"
"hakikat","gerçek, doğru"
"bekàsız","geçici, sürekli olmayan"
"mazhar","sahip"
"malûm","bilinen, belli"
"mazhar","sahip"
"ahmaklık","akılsızlık"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"müşahede","görme"
"inâyet","bütün yararların, hikmetlerin ve faydaların kaynağı olan düzenlilik"
"emârât","belirtiler, izler"
"işârât","işaretler"
"icraat-ı hakîmâne","hikmetli bir şekilde yapılan icraatlar"
"ef'âl-i kerîmâne","cömertçe ve iyilikle yapılan işler"
"ihsânât-ı rahîmâne","şefkat ve merhametle yapılan ihsanlar, ba-ğışlar"
"hâşâ sümme hâşâ","asla ve asla, kesinlikle öyle değil"
"sefih","yasak zevk ve eğlencelerin peşinde koşan; beyinsiz, budala"
"gaddar","acımasız"
"hakikat","gerçek, doğru"
"inkılâb","değişme, dönüşme"
"inkılâb-ı hakaik","gerçeklerin değişmesi"
"ehl-i akl","akıl sahipleri"
"ittifak","birleşme"
"muhal","imkansız"
"vücud","varlık"
"sofestâî","yaratıcıyı kabul etmemek için herşeyi, hatta kendisini dahi inkâr eden"
"ebleh","ahmak, akılsız"
"hariç","müstesna"
"diyar","yer"
"diyar","yer"
"mahkeme-i kübrâ","öldükten sonra âhirette Allah'ın huzurunda kurulacak olan büyük mahkeme"
"mâ'dele-i ulyâ","yüce adaletin gerçekleştirildiği yer"
"mekreme-i uzmâ","çok büyük ikramların yapıldığı yer"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"inâyet","bütün yararların, hikmetlerin ve faydaların kaynağı olan düzenlilik"
"tezahür","görünme, ortaya çıkma"
"cemaat","topluluk"
"reis","başkan"
"zabit","subay"
"teçhizat","cihazlar, donanım"
"teçhizat","cihazlar, donanım"
"saadet","mutluluk"
"tahsil","elde etmek, kazanmak"
"teçhizat","cihazlar, donanım"
"nümune","örnek"
"zabit","subay"
"cüzdan","kimlik"
"cüzdan","kimlik"
"zabit","subay"
"matlubât","istekler"
"düstur-u harekât","hareket kuralları"
"hazine-i hassa","özel hazine"
"muvakkat","geçici"
"kurb","yakınık"
"saadet","mutluluk"
"matlubat","istekler"
"mes'udâne","mutlu bir şekilde"
"düstur","prensip, kural"
"cüzdan","kimlik"
"namzet","aday"
"âlem","dünya"
"teçhizat","cihazlar, donanım"
"suret-i istimal","kullanma şekli"
"mes'uliyet","sorumluluk, yükümlülük"
"âli","yüce"
"muhkem","değiştirilemez"
"cüzdan","kimlik"
"muhterem","saygıdeğer"
"zabit","subay"
"mükerrem","şerefli, saygı gösterilen"
"muazzez","aziz, değerli"
"reis","başkan"
"ahali","halk"
"bedbaht","talihsiz"
"biçare","çaresiz"
"zelil","aşağılık"
"musibetli","belâya uğramış"
"dereke","aşağı seviye"
"şehadet","şahitlik"
"fâni","geçici olan, ölümlü"
"bâki","devamlı ve kalıcı olan"
"muvakkat","geçici"
"talimgâh","eğitim yeri"
"mahkeme-i kübrâ","öldükten sonra âhirette Allah'ın huzurunda kurulacak olan büyük mahkeme"
"saadet-i uzmâ","çok büyük mutluluk"
"zabit","subay"
"cüzdan","kimlik"
"teçhizat","cihazlar, donanım"
"düstur","prensip, kural"
"intizâmât","düzenlilikler"
"hükûmet","yönetim"
"vaki","meydana gelen"
"vücud","varlık"
"tekzip","yalanlama"
"zîşuur","şuur sahibi, bilinçli"
"Sofestâî","Yaratıcıyı kabul etmemek için herşeyi, hatta kendini dahi inkâr eden"
"tebdil-i memleket","memleket değiştirme"
"münhasır","sınırlı, ait"
"had ve hesaba gelmez","sonsuz ve sınırsız olmak"
"emare","belirti, iz"
"mütegayyir","değişen"
"zevâlsiz","yok olmayan"
"müstekar","yerleşmiş, sabit"
"tahvil","dönüştürülmek"
"had ve hesaba gelmez","sonsuz ve sınırsız olmak"
"alâmet","işaret"
"ahali","halk"
"muvakkat","geçici"
"saltanat","hükümdarlık, egemenlik"
"makarr-ı daimî","daimî merkez"
"Bahusus","özellikle"
"Suret","şekil, görüntü"
"burhan","güçlü ve sarsılmaz delil"
"cemaat-i azîme","çok büyük topluluk"
"nişan","madalya"
"yâver-i ekrem","çok değerli, yüksek rütbeli memur"
"tebliğat","bildirim"
"yâver-i ekrem","çok değerli, yüksek rütbeli memur"
"tâlik edilmiş","asılmış"
"ferman-ı âzam","çok büyük ferman, buyruk"
"nisbeten","kıyasla"
"makarr-ı saltanat","saltanat merkezi, başkent"
"ihsan","iyilik, bağış, yardım"
"mazhar","sahip"
"ferman","buyruk"
"tebliğat","bildirim"
"ferman-ı âzam","çok büyük ferman, buyruk"
"icazkâr","mu'cizeli, benzerini yapmakta başkalarını âciz ve hayrette bırakan"
"turra","mühür, nişan"
"vech","şekil, tarz"
"kabil-i taklit","taklidi mümkün"
"ferman","buyruk"
"ferman","buyruk"
"kat'î","şüphesiz, kesin"
"yâver-i ekrem","çok değerli, yüksek rütbeli memur"
"nişan","madalya"
"tercüman-ı evâmir","emir ve buyrukların tercümanı"
"yakinen","kesin olarak"
"yâver-i ekrem","çok değerli, yüksek rütbeli memur"
"ferman-ı âzam","çok büyük ferman, buyruk"
"tebliğ","bildirme"
"tebdil-i memleket","memleket değiştirmek"
"kabil","mümkün, olabilir"
"kabil","mümkün, olabilir"
"Elhamdü lillâh","ezelden ebede her türlü hamd ve övgü Allah'a mahsustur"
"vehim","zan, kuruntu"
"heva","kabiliyet ve duyguları nefsin yasak arzu ve isteklerinin emrine verme"
"tahakküm","baskı"
"nefis","insanı maddî zevk ve isteklere sevk eden kuvvet"
"heves","gelip geçici arzu ve istekler"
"halâs","kurtulmak"
"kurb-u şahane","padişahın yakını"
"diyar-ı saadet","mutluluk yeri"
"namzed","aday"
"haşir","öldükten sonra âhirette tekrar diriltilip Allah'ın huzurunda toplanma"
"âhiret","öteki dünya, öldükten sonraki hayat"
"kinaye","bir sözü üstü kapalı olarak ifade etme"
"hikâye-i temsiliye","analojik, benzetmeye dayanan kıyaslamalı hikâye"
"tevfik-i İlâhî","Allah'ın yardımı"
"hakikat-i ulyâ","yüce gerçek"
"Suret","şekil, görüntü"
"mukabil","karşılık"
"mütesanit","birbirini destekleyen"
"Hakikat","meselenin içyüzü, gerçek mahiyeti"
"Mukaddime","başlangıç, giriş"
"beyan","açıklama"
"Mukaddime","başlangıç, giriş"
"izah edilen","açıklanan"
"emin","güvenilir"
"hakikat","gerçek"
"Nefs-i emmâre","insanı devamlı kötülüğe ve yasak şeylere teşvik eden duygu"
"şakirt","talebe, öğrenci"
"Kur'ân-ı Hakîm","her âyet ve sûresinde sayısız hikmet ve faydalar bulunan Kur'ân"
"tilmiz","talebe, öğrenci"
"Ümmet-i İslâmiye","İslâm ümmeti, Müslümanlar"
"millet-i küfriye","küfür milleti, kâfirler"
"şakirt","talebe, öğrenci"
"millet-i küfriye","küfür milleti, kâfirler"
"nefs-i emmâre","insanı devamlı kötülüğe ve yasak şeylere teşvik eden duygu"
"dalâlet","hak yoldan sapkınlık, inançsızlık"
"Cenâb-ı Hak","Hakkın ta kendisi olan şeref ve yücelik sahibi Allah"
"emin","güvenilir"
"kâtip","yazıcı"
"hâkim","hükmeden, idareci, yargılayan"
"bahusus","özellikle"
"muntazam","düzenli, tertipli"
"kaside","övgü şiiri"
"kâtip","yazıcı"
"muhal","imkansız"
"kâinat","evren, yaratılmış herşey"
"nakkaş","nakış yapan"
"muhal ender muhal","imkansızlık içinde imkansızlık"
"kâinat","evren, yaratılmış herşey"
"tazammun","içine almak, içermek"
"kaside","övgü şiiri"
"fihriste","indeks, içindekiler"
"evsâf-ı celâl ve cemâl","haşmet, yücelik ve güzellik vasıfları"
"nihayetsiz","sonsuz"
"kudret","güç, kuvvet, iktidar"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"mâlik","sahip"
"Zât-ı Zülcelâl","sonsuz yücelik ve haşmet sahibi olan Zât, Allah"
"nakş-ı kalem-i kudret","kudret kalemiyle yapılan nakış"
"âlem","dünya"
"şuhud","görülme"
"illâ","meğer, ancak (istisna edatıdır)"
"dalâlet","hak yoldan sapkınlık, inançsızlık"
"hane","ev"
"bahusus","özellikle"
"hane","ev"
"harika","hayranlık veren"
"acip","şaşırtıcı, hayret verici"
"ziynet","süs"
"tezyin","süsleme"
"derc","yerleştirilmek"
"mahir","maharetli, becerikli"
"Bahusus","özellikle"
"hakikî","gerçek"
"menzil","ev, mekân, konak"
"teşkil","meydana getirilmek"
"kemâl-i intizam","tam ve mükemmel bir düzen"
"hakikî","gerçek"
"müteaddit","çeşitli, birçok"
"menzil","ev, mekân, konak"
"icad","var edilmek, yaratılmak"
"kâinat","evren, yaratılmış herşey"
"nihayetsiz","sonsuz"
"hakîm","herşeyi hikmetle yaratan Allah"
"alîm","herşeyi hakkıyla bilen, sonsuz ilim sahibi Allah"
"kadîr","herşeye gücü yeten, sonsuz güç ve kudret sahibi Allah"
"Sâni","herşeyi san'atla yaratan Allah"
"muhteşem","ihtişamlı, görkemli"
"kâinat","evren, yaratılmış herşey"
"Sâni-i Zülcelâl","sonsuz haşmet sahibi ve herşeyi san'atla yaratan Allah"
"âlem","dünya"
"âlem","dünya"
"muntazam","düzenli"
"suret","şekil, görüntü"
"tecdid","yenileme"
"kemâl-i intizamla ve hikmetle","tam ve mükemmel bir düzenlilik ve hikmet"
"sofra-i nimet","nimet sofrası"
"envâ-ı masnûat","sanat eseri varlık türleri"
"tezyin","süsleme"
"Had ve hesaba gelmez","sonsuz ve sınırsız olmak"
"envâ-ı ihsânât","bağış ve nimetlerin çeşitleri"
"ihtilât","karışıklık"
"imtiyaz","farklılık"
"cihet","yön, taraf"
"Sâni","herşeyi san'atla yaratan Allah"
"gaflet","umursamazlık, duyarsızlık"
"cilve","parıltı, yansıma"
"aks","yansıma"
"müşahede","görülmek"
"inkâr","kabul etmeme, inanmama, yok sayma"
"acip","şaşırtıcı, hayret verici"
"divanelik","delilik, akılsızlık"
"hezeyan","saçmalama"
"inkâr","kabul etmeme, inanmama, yok sayma"
"katarat","damlalar"
"hakikî","gerçek"
"bil'asâle","bizzat"
"zerrecik","atom, maddenin en küçük parçası"
