"kelime","anlam"
"medrese-i Yusufiye","Hz. Yusuf'un (a.s.) hapiste kalmasına benzetilerek, iman ve Kur'ân hizmetinden dolayı tutuklananların hapsedildiği yer mânâsında hapishane"
"inkılâp","dönüşmek"
"Zira","çünkü"
"feyiz","ilham, bolluk, bereket"
"irşad","doğru yolu gösterme"
"câni","katil, cinayet işleyen"
"saadet","mutluluk"
"ihlâs","ibadet ve davranışlarda sadece Allah rızasını gözetme; samimiyet"
"şuur","bilinç, anlayış, idrak"
"malik","sahip"
"mefhum","bir sözden çıkarılan mânâ; kavram"
"fâni","geçici, ölümlü"
"kesif","yoğun, katı"
"mâneviyat","mânevî yönden elde edilen gelişmeler ve özellikler"
"mutasavvıf","tasavvuf ehli, kalbi dünyanın gelip geçici işlerinden ayırıp Allah sevgisi ile bağlayan tarikat ehli kimseler"
"fena fillâh","Allah'ın varlığında yok olma, kulun zât ve sıfatlarının Allah'ın zât ve sıfatlarında fani olması"
"bekabillâh","Allah ile var olmak"
"tavsif","vasıflandırma, niteleme"
"kudsî","her türlü kusur ve noksandan uzak, kutsal"
"nail","erişmek"
"mü'min","iman eden, Allah'a ve Onun gönderdiği şeylere inanan"
"huzur","kulun kendisini Allah'ın huzurunda hissetmesi"
"huşû","kulun, Allah'ın varlıklar üzerinde yansıyan haşmet ve görkemini düşünerek kendisinden geçmesi"
"tefeyyüz","feyizlenme; manevî yönden ilerleme ve yükselme"
"tecerrüd","soyutlanma, sıyrılma; bütün varlıklardan alâka ve bağlantıları koparıp, kendini onlardan arındırıp Allah'a yönelme"
"istiğrak","Allah aşkıyla dünyayı unutup kendinden geçme"
"irfan","varlıklarda gizli olan hakikatleri tefekkür, keşif ve ilham yoluyla bilme"
"salâh","iyilik"
"takvâ","Allah'tan korkup emir ve yasaklarına titizlikle uyma"
"feyiz","ilham, bolluk, bereket"
"mâneviyat","mânevî yönden elde edilen gelişmeler ve özellikler"
"nisbetinde","oranında"
"İlâhî","Allah tarafından olan"
"haz","zevk; manevî lezzet"
"feyizyâb","feyiz bulma; manevî nimetlere ve ikramlara nail olma"
"visal","kavuşma"
"emsalsiz","benzersiz, eşsiz"
"haz","zevk; manevî lezzet"
"âyet-i kerime","Kur'an'ın herbir cümlesi"
"ihsan erbabı","Allah'ı görmese de, her an görüyormuşcasına hareket eden seçkin kullar"
"mücahid","cihad eden; nefis ve şeytanlarla mücadele eden"
"Mevlâ","bütün varlıklar âleminin yegâne sahibi ve efendisi olan Allah"
"gaflet","Allah'a ve Onun emir ve yasaklarına karşı duyarsız davranma hâli, umursamazlık"
"Nefis","insanı daima kötülüğe, maddî zevk ve isteklere sevk eden duyu"
"terakki","ilerleme, yükselme"
"tekâmül","ilerleme, mükemmelleşme"
"cemâl","sonsuz güzellik"
"kemâl","sonsuz mükemmellik"
"celâl","büyüklük, azamet, haşmet"
"muttasıf","nitelenmiş; belli bir vasıf ve sıfatı üzerinde taşıyan"
"Rabbü'l-Âlemîn","âlemlerin Rabbi, bütün âlemleri idare ve terbiye eden Allah"
"rıza","memnuniyet"
"Mevlâ","bütün varlıklar âleminin yegâne sahibi ve efendisi olan Allah"
"bahtiyar","talihli, mutlu"
"zümre","grup, topluluk"
"ilhak","dahil etmek"
"Âmin","Allahım kabul eyle"
"Üstad","bir ilim ve san'at alanında bilgi ve söz sahibi olan âlim; Bediüzzaman Said Nursî"
"meftun","düşkün, tutkun"
"azametli","büyük, yüce"
"mümtaz","seçkin"
"şahsiyet","kişilik, yapı"
"hâle","ay ve güneşin etrafında bazen görünen parlak, ışıklı halka"
"meziyet","üstün özellik"
"kemalât","bir kimsenin sahip olduğu üstün meziyetler, manevî haslet ve özellikler"
"Malûm","bilinen"
"şahsiyet","kişilik, yapı"
"muhtelif","çeşitli"
"muayyen","belirli"
"meziyet","üstün özellik"
"Binaenaleyh","bundan dolayı"
"Üstad","bir ilim ve san'at alanında bilgi ve söz sahibi olan âlim; Bediüzzaman Said Nursî"
"şahsiyet","kişilik, yapı"
"tekvin","oluşturan, meydana getiren"
"Feragat","hakkından isteyerek vaz geçme, affetme"
"bilhassa","özellikle"
"ıslahatçı","gerek insanlarda, gerekse toplum yapısında meydana gelen bozulmaları düzeltme, yenileme ve eksiklikleri tamamlama çabasında olan"
"muvaffakiyet","başarı"
"mühim","önemli"
"feragat","hakkından isteyerek vaz geçme, affetme"
"Zira","çünkü"
"mühim","önemli"
"tetkik","inceleme, araştırma"
"meyyal","meyilli, eğilimli"
"Üstad","bir ilim ve san'at alanında bilgi ve söz sahibi olan âlim; Bediüzzaman Said Nursî"
"feragat","hakkından isteyerek vaz geçme, affetme"
"Allâme","büyük âlim"
"Şeyhülislâm","Osmanlı devletinde, kabinede sadrazamdan sonra yer alan ve din işlerine bakmakla birlikte dünya işlerine de din bakımından karışan kimse"
"Mustafa Sabri Efendi","bk. Mustafa Sabri Efendi"
"merhum","vefat etmiş ve Allah'ın rahmetine kavuşmuş olan,"
"feragat","hakkından isteyerek vaz geçme, affetme"
"mücahit","cihad eden, din uğrunda çaba harcayan kimse"
"sâdır","çıkan; dile getirilen"
"mutasavvıf","tasavvuf ehli, kalbi dünyanın gelip geçici işlerinden ayırıp Allah sevgisi ile bağlayan tarikat ehli kimseler"
"istiğrak","Allah aşkıyla kendinden geçme"
"esrarlı","gizemli, sırlı"
"Vaktâ ki","ne zaman ki"
"feragat","hakkından isteyerek vaz geçme, affetme"
"feragat","hakkından isteyerek vaz geçme, affetme"
"mücahid","cihad eden, din uğrunda çaba harcayan"
"Erhamürrâhimîn","merhametlilerin en merhametlisi olan Allah"
"Allahü Zü'l-Kerem Tealâ ve Tekaddes Hazretleri","Sonsuz cömertlik, yücelik sahibi, her türlü eksiklik ve noksanlıktan münezzeh ve mukaddes olan Allah"
"fedaî","davası ve inançları uğruna canını feda eden"
"lütuf","iyilik, ihsan, bağış"
"kerem","cömertlik, ikram, yardım"
"inayet","lütuf, iyilik, yardım"
"müstesna","seçkin, benzeri olmayan"
"tecellî","belirme, yansıma"
"mücerred","evlenmemiş olan, bekâr"
"meşru","helâl, dine uygun"
"mes'ut","mutlu"
"Cenâb-ı Hak","Hakkın ta kendisi olan, sonsuz şeref ve azamet sahibi yüce Allah"
"ihsan","bağışlama, ikram etme"
"fâni","geçici, ölümlü"
"muazzam","büyük"
"aile reisi","ailenin başı, baba"
"mânen","mânevî yönden"
"mes'ut","mutlu"
"üstad","bir ilim ve san'at alanında bilgi ve söz sahibi olan âlim; Bediüzzaman Said Nursî"
"kudsî","kutsal"
"ruhî","ruhla ilgili, ruhtan gelen"
"rabıta","bağ"
"biiznillâhi teâlâ","Yüce Allah'ın izni ile"
"ebediyet","sonsuzluk"
"derya","deniz"
"tebellür","billurlaşma; kristaller gibi parıldama"
"Şefkat","acıma, merhamet"
"üstad","bir ilim ve san'at alanında bilgi ve söz sahibi olan âlim; Bediüzzaman Said Nursî"
"hakikat","gerçek, doğru"
"münâcât","Allah'a yalvarma, yakarma"
"taat","Allah'ın emirlerine uyma, yasaklarından kaçınma"
"tefekkür","Allah'ı tanımayı sonuç verecek şekilde varlıklar üzerinde düşünme"
"murakabe","nefsini kontrol altına alma, Allah tarafından sürekli gözetlendiğine inanma"
"feyiz","manevî kaynaklardan gelen ilham; bolluk, bereket"
"ârif-i billâh","Allah'ı tanıyan, bilen; manevî mertebelerin en üst seviyesi olan mârifetullah derecesine ulaşan"
"Lâkin","ancak"
"küfür","inanmama, kabul etmeme"
"ilhad","dinsizlik, inkâr"
"cihad","mücadele, din uğrunda çaba harcama"
"mukaddes","kutsal"
"hikmet","sebep, sır, gaye"
"mebni","bina edilmiş olan; bundan dolayı"
"lâv","yanardağların püskürmesi sırasında ortaya çıkan kütle"
"Üstad","bir ilim ve san'at alanında bilgi ve söz sahibi olan; bk. Bediüzzaman Said Nursî"
"uzlet","bir köşeye çekilip yalnız başına yaşama"
"inziva","yalnız başına bir yere çekilip dünya işleriyle uğraşmama"
"irşad","doğru yolu gösterme"
"cemiyet","toplum"
"İmam-ı Gazâlî","bk. İmam-ı Gazâlî"
"merhale","aşama, safha"
"Cenâb-ı Hak","Hakkın ta kendisi olan, sonsuz şeref ve azamet sahibi yüce Allah"
"mürşid","irşad eden, doğru yolu gösteren"
"inziva","yalnız başına bir yere çekilip dünya işleriyle uğraşmama"
"terbiye","manevî eğitimden geçme"
"tasfiye","kalbini ve ruhunu her türlü manevî kirlerden arındırma, temizleme"
"tezkiye","kusur ve hatalardan arınarak manen temizlenme"
"tenvir","nurlandırma, aydınlatma; insanları iman ve Kur'ân ilimleriyle aydınlatma"
"irşad","doğru yolu gösterme"
"mükellef","yükümlü"
"mâ-i mukattar","saf su, damıtılmış su"
"aks","yansıma"
"icra","yürütme, yerine getirme"
"Arz","sunma, dile getirme"
"İmam-ı Gazâlî","bk. İmam-ı Gazâlî"
"fazilet","güzel ahlâk, mânevî değer, erdem"
"fütuhat","fetihler, zaferler"
"asır","yüzyıl"
"ihlâs","ibadet ve davranışlarda sadece Allah rızasını gözetme; samimiyet"
"cihad","mücadele, din uğrunda çaba harcama"
"sevk","yöneltme, yönlendirme"
"şefkat","acıma, merhamet"
"ehemmiyet","önem"
"İstiğna","elindekilerle yetinip başkalarının yardımına ihtiyaç duymama; tok gözlü olma; gönül tokluğu"
"Üstad","bir ilim ve san'at alanında bilgi ve söz sahibi olan; bk. Bediüzzaman Said Nursî"
"cemiyet","toplum"
"istiğna","elindekilerle yetinip başkalarının yardımına ihtiyaç duymama; tok gözlü olma; gönül tokluğu"
"ulviyet","yücelik"
"haiz","sahip, elde eden"
"Mâsivâ","Allah'tan başka herşey"
"istiğna","elindekilerle yetinip başkalarının yardımına ihtiyaç duymama; tok gözlü olma; gönül tokluğu"
"uzvî","beden organları ile ilgili"
"ruhî","ruhla ilgili, ruha ait"
"Rabbü'l-Âlemîn","Alemlerin Rabbi, Allah"
"müddet-i hayat","hayat süresi"
"itiyad","alışkanlık"
"mezhep","tutulan yol, ekol"
"meşrep","hareket tarzı, metod"
"sebat","kararlı ve sabit olma"
"şahsı","kişisel"
"münhasır","ait, sınırlı"
"kudsî","kutsal"
"mefkûre","gaye, ideâl"
"intikal","geçme, varma"
"derya","deniz"
"mazhar","sahip olan, erişen"
"istiğna","elindekilerle yetinip başkalarının yardımına ihtiyaç duymama; tok gözlü olma; gönül tokluğu"
"kabil","mümkün"
"Üstad","bir ilim ve san'at alanında bilgi ve söz sahibi olan âlim; Bediüzzaman Said Nursî"
"ünvan","isim"
"şaheser","üstün ve kalıcı nitelikte olan eser, başyapıt"
"vecih","yön, taraf"
"irfan","varlıklarda gizli olan hakikatleri tefekkür, keşif ve ilham yoluyla bilme"
"şuur","bilinç, anlayış, idrak"
"izah","açıklama"
"Ehl-i dalâlet","doğru ve hak yoldan sapanlar, inançsız kimseler"
"ehl-i ilm","ilim ehli kimseler; âlimler"
"vasıta-i cer","birşeyi herhangi bir çıkar için kullanmak, alet etmek"
"itham","suçlama"
"medar-ı maişet","geçim kaynağı"
"Binaenaleyh","bundan dolayı"
"tekzip","yalanlama"
"lâzım","bir hususu ve özelliği gerektiren sebep"
"Neşr-i hak","hakkı ve hakikatleri bütün insanlara yayma, duyurma"
"enbiya","nebiler, peygamberler"
"ittibâ","uyma, tabi olma"
"mükellef","yükümlü"
"Kur'ân-ı Hakîm","hikmetli Kur'ân; her âyet ve sûresinde sayısız hikmetler bulunan Kur'ân"
"neşr","yaymak"
"istiğna","elindekilerle yetinip başkalarının yardımına ihtiyaç duymama; tok gözlü olma; gönül tokluğu"
"mazhar","sahip olan, erişen"
"fütuhat","fetihler, zaferler"
"enbiya","nebiler, peygamberler"
"sebat","kararlılık, sabit olma"
"şaheser","üstün ve kalıcı nitelikte olan eser, başyapıt"
"misal","örnek"
"harikulâde","olağanüstü, şaşırtıcı şekilde"
"Üstad","bir ilim ve san'at alanında bilgi ve söz sahibi olan âlim; Bediüzzaman Said Nursî"
"izzet-i ilmiye","ilmin izzeti, şerefi"
"cihan-kıymet","bütün kâinat kıymetinde olan"
"muhafaza","koruma"
"şahsî","kişisel"
"fatih","fetheden"
"feyiz","ilham, bolluk, bereket"
"İktisat","tutumluluk; her hususta orta yolu takip etme, lüzumundan fazla veya noksan harcamaktan kaçınma"
"İktisat","tutumluluk; her hususta orta yolu takip etme, lüzumundan fazla veya noksan harcamaktan kaçınma"
"istiğna","elindekilerle yetinip başkalarının yardımına ihtiyaç duymama; tok gözlü olma; gönül tokluğu"
"tefsir","açıklama"
"izah","açıklama"
"iktisat","tutumluluk; her hususta orta yolu takip etme, lüzumundan fazla veya noksan harcamaktan kaçınma"
"istiğna","elindekilerle yetinip başkalarının yardımına ihtiyaç duymama; tok gözlü olma; gönül tokluğu"
"lâzım","bir hususu ve özelliği gerektiren sebep"
"iktisat","tutumluluk; her hususta orta yolu takip etme, lüzumundan fazla veya noksan harcamaktan kaçınma"
"istiğna","elindekilerle yetinip başkalarının yardımına ihtiyaç duymama; tok gözlü olma; gönül tokluğu"
"lâzım","bir hususu ve özelliği gerektiren sebep"
"mülzem","bir husus ve özelliğin gerekli olduğu veya görüldüğü şey"
"kabil","tür, çeşit gibi"
"Üstad","bir ilim ve san'at alanında bilgi ve söz sahibi olan âlim; Bediüzzaman Said Nursî"
"istiğna","elindekilerle yetinip başkalarının yardımına ihtiyaç duymama; tok gözlü olma; gönül tokluğu"
"mücahid","cihad eden, din uğrunda çaba harcayan"
"iktisat","tutumluluk; her hususta orta yolu takip etme, lüzumundan fazla veya noksan harcamaktan kaçınma"
"husule","meydana gelmek"
"haslet","huy, özellik, karakter"
"kâfi","yeterli"
"Zira","çünkü"
"munsif","insaflı, hakkaniyetli"
"Lâ Martin","bk. Lamartin"
"Üstad","bir ilim ve san'at alanında bilgi ve söz sahibi olan âlim; Bediüzzaman Said Nursî"
"meşrep","hareket tarzı, metod"
"iktisat","tutumluluk; her hususta orta yolu takip etme, lüzumundan fazla veya noksan harcamaktan kaçınma"
"mukayese","kıyaslama"
"Zira","çünkü"
"iktisat","tutumluluk; her hususta orta yolu takip etme, lüzumundan fazla veya noksan harcamaktan kaçınma"
"tatbik","uygulamak"
"lâzım","bir hususu ve özelliği gerektiren sebep"
"Üstad","bir ilim ve san'at alanında bilgi ve söz sahibi olan âlim; Bediüzzaman Said Nursî"
"iktisat","tutumluluk; her hususta orta yolu takip etme, lüzumundan fazla veya noksan harcamaktan kaçınma"
"kudret","güç, iktidar"
"bilâkis","aksine, tersine"
"istidat","potansiyel, kabiliyet"
"kabil","tür, çeşit gibi"
"nefis","bir kimsenin kendisi; insanı daima kötülüğe, maddî zevk ve isteklere sevk eden duygu"
"mücerred","soyut, maddî özelliği olmayan"
"heder","boş yere harcama, israf etme"
"muhasebe","hesaba çekme, sorgulama"
"murakebe","kontrol etme, sürekli gözetleme"
"usul","yöntem"
"telkin","zihinde yer ettirme, aşılama"
"Binaenaleyh","bundan dolayı"
"Zira","çünkü"
"mihrak noktası","odak noktası"
"kudret","güç, iktidar"
"ıslahatçı","gerek insanlarda, gerekse toplum yapısında meydana gelen bozulmaları düzeltme, yenileme ve eksiklikleri tamamlama çabasında olan"
"pedagog","eğitimci, terbiyeci"
"mürebbî","terbiye edici, eğitici"
"fiilen","uygulamalı olarak"
"iktisat","tutumluluk; her hususta orta yolu takip etme, lüzumundan fazla veya noksan harcamaktan kaçınma"
"atlas sahife","ipekten dokunmuş kumaş gibi parlak bir sayfa"
"ilâve","ekleme"
"nâdire-i fıtrat","yaratılış olarak benzersiz olan"
"Tevazu","alçakgönüllülük"
"mahviyetkâr","alçakgönüllülük"
"harikulâde","olağanüstü, şaşırtıcı şekilde"
"cihan","dünya, âlem"
"haslet","huy, özellik, karakter"
"Üstad","bir ilim ve san'at alanında bilgi ve söz sahibi olan âlim; Bediüzzaman Said Nursî"
"kutbu'l-ârifîn","manevî mertebeler içinde en yüksek seviye olan mârifetullah derecesine ulaşanların en önde geleni"
"Gavsu'l-vâsılîn","mârifetullah derecesine ulaşarak, Allah'a ulaşan büyük zâtların en büyüğü ve en önde geleni"
