"kelime","anlam"
"Rahîm","rahmetinin çok özel tecellileri olan, sonsuz şefkat ve merhamet sahibi Allah"
"Gafûr","günahları çok çok bağışlayan Allah"
"Bâis","yeniden yaratan, ölüleri tekrar dirilten Allah"
"Vâris","her şeyin gerçek sahibi ve vârisi olan ve her şeyin mülkünü elinde tutan Allah"
"Muhyî","bütün canlılara hayat veren Allah"
"Muhsin","yarattıklarına bağış ve iyiliklerde bulunan Allah"
"Rab","herbir varlığa yaratılış gayelerine ulaşmaları için muhtaç olduğu şeyleri veren, onları terbiye eden ve idaresi ve egemenliği altında bulunduran Allah"
"Mâlik","sahip; her şeyin gerçek sahibi olan Allah"
"tulû","doğmak"
"umum","bütün"
"Cehennemî","Cehennem'e ait"
"hâlet","durum, hal"
"nuranî","nurlu, aydınlık"
"âhiret","öteki dünya, öldükten sonraki hayat"
"Zerrât-ı kâinat","kâinattaki, evrendeki atomlar"
"Elhamdü lillâh","ezelden ebede her türlü hamd ve övgü Allah'a mahsustur"
"eşşükrü lillâh","ezelden ebede bü–tün şükürler ancak Allah'adır"
"aynelyakîn","gözlem ve müşahedeye dayanarak, kuşkuya yer bırakmayacak şekilde kesin bilme"
"dalâlet","hak yoldan ayrılma, sapkınlık"
"yakînen","kesin olarak"
"küre-i arz","yerküre"
"seyahat-i hayaliye","hayalî yolculuk"
"itaat","emre uyma"
"kavânin-i ilmiye","ilmin kanunları"
"müstaîd","istidatlı, kàbiliyetli"
"kàbil","kàbiliyetli"
"zelzele","deprem"
"küre-i arz","yerküre"
"kâinat","evren, bütün yaratılmışlar"
"hadsiz","sonsuz, sınırsız"
"bîçare","çaresiz, zavallı"
"nev-i insan","insan türü, insanlık"
"hikmet-i Kur'âniye ve imaniye","Kur'ân ve imandan gelen ilim, hikmet"
"Hâlık-ı Arz ve Semâvât","gökleri ve yeri yaratan Allah"
"Kàdir","her şeye gücü yeten, herşeyi yapabilen, sonsuz güç ve kudret sahibi Allah"
"Alîm","her şeyi hakkıyla bilen, ilmi herşeyi kuşatan, sonsuz ilim sahibi Allah"
"Rabbü's-Semâvâti ve'l-Ard","göklerin ve yerin Rabbi, Allah"
"Müsahhirü'ş-Şemsi ve'l-Kamer","Ayı ve Güneşi itaat ettiren, boyun eğdiren, Allah"
"rahmet","şefkat, merhamet"
"azamet","büyüklük"
"rububiyet","Rablık"
"tulû","doğmak"
"hâlet","durum, hal"
"küre-i arz","yerküre"
"muntazam","düzenli"
"musahhar","boyun eğdirilmiş, emre verilmiş"
"erzak","rızıklar, yiyecek ve içecekler"
"tenezzüh","gezinti, seyir"
"müheyyâ","hazır"
"zîruh","ruh sahibi"
"memleket-i Rabbâniye","Rab olan Allah'ın memleketi"
"mahsulât","ürünler"
"tayyare","uçak"
"şimendifer","tren"
"Küre-i arz","yerküre"
"zerrât","atomlar"
"Elhamdü lillâhi alâ ni'meti'l-iman","iman nimetinden dolayı Allah'a hamdolsun"
"muvazene","karşlaştırma"
"ehl-i sefahet ve dalâlet","yasak eğlence, zevklere düşkün olan, doğru ve hak yoldan sapan, sapık kimseler"
"azap","acı, sıkıntı, ceza"
"ehl-i iman ve salâhat","Allah'a ve iman esaslarına inanan takva sahipleri, sâlih kimseler"
"tecelliyat","tecelliler, yansımalar"
"cilve","görüntü, yansıma"
"derece-i iman","iman derecesi"
"beşer","insan"
"nazar","bakış, dikkat"
"âfâk","kişiyi ilgilendirmeyen dışarıdaki şeyler"
"cereyan","akım, hareket"
"iptal-i his","hisleri uyuşturma, duyguları vazifelerini yapamaz hâle getirme"
"nev'","çeşit, tür"
"ehl-i dalâlet","doğru ve hak yoldan sapanlar, sapık kimseler"
"muvakkaten","geçici olarak"
"ehl-i hidâyet","doğru yolda olanlar, iman nimetine ermiş olanlar"
"gaflet","dalgınlık, umursamazlık"
"hakikî","asıl, gerçek"
"takdir","kıymet bilmek, değerlendirmek"
"küfr-ü mutlak","tam bir küfür, inkâr ve inançsızlık"
"dalâlet","hak yoldan ayrılma, sapkınlık"
"küfr-ü inadî","inkarda ısrar etme"
"temerrüd","inat etme, ayak direme"
"nisbeten","kıyasla, oranla"
"muhakkik","gerçekleri araştıran ve delilleriyle bilen"
"hüccet","güçlü delil, kanıt"
"kâfi","tam, yeterli"
"küfr-ü meşkûk","inkârda, küfürde şüpheye düşme"
"izale","giderme"
"umumî","genel, bütün"
"ihtar","hatırlatma"
"sefahet","yasak zevk ve eğlencelere düşkünlük"
"dalâlet","hak yoldan ayrılma, sapkınlık"
"kâfir-i mutlak","tam inkârcı; hiçbir kutsal değere inanmama şeklinde dinsizlik"
"dalâlet","hak yoldan ayrılma, sapkınlık"
"hakaik-i iman","iman hakikatleri, esasları"
"ziyade","çok, fazla"
"mütemerrid","inatçı, inanmamakta direnen"
"firavunluk","kendini Firavun gibi ilâh seviyesine çıkaracak derecede büyük görme; bk. Firavun"
"dalâlet","hak yoldan ayrılma, sapkınlık"
"hakaik-ı imaniye","iman hakikatleri"
"muaraza","sözle mücadele, karşı gelme"
"hakikat-i kudsiye","kutsal hakikatler"
"tecavüzat","tecavüzler, saldırılar"
"Cenâb-ı Hak","Hakkın ta kendisi olan şeref ve yücelik sahibi Allah"
"hadsiz","sonsuz, sınırsız"
"şükür","teşekkür, övgü"
"tiryak","derman, ilaç"
"Kur'ân-ı Mucizü'l-Beyân","açıklamalarıyla benzerini yapmakta akılları âciz bırakan Kur'ân"
"mu'cize-i mâneviye","mânevî mu'cize"
"lemeat","parıltılar"
"muvazene","karşılaştırma"
"muannid","inatçı, direnen"
"mütemerrid","inatçı, inanmamakta direnen"
"kâinat","evren, bütün yaratılmışlar"
"zerre","atom"
"vahdâniyet-i İlâhiye","Allah'ın birliği, ortağının ve benzerinin olmayışı"
"hakikat","gerçek, esas"
"hüccet","delil, kanıt"
"hücum","saldırı"
"mağlûp","yenilme"
"galebe","üstün gelme"
"muvazene","karşılaştırma"
"hidayet","doğru ve hak yolu gösterme"
"dalâlet","hak yoldan ayrılma, sapkınlık"
"mukayese","kıyaslama"
"mezkûr","anılan, sözü geçen"
"hakikat","gerçek, esas"
"bilmüşahede","görerek ve gözlemleyerek"
"burhan","güçlü delil"
"Mevkıf","bölüm, kısım"
"Asâ-yı Mûsâ","Risale-i Nur Külliyatı'ndan bir eser adı"
"hüccet","delil, kanıt"
"sair","diğer, başka"
"muvazene","karşılaştırma"
"küfr-ü mutlak","tam bir küfür, inkâr; hiçbir kutsal değere inanmama şeklindeki dinsizlik"
"mütemerrid","inatçı, inanmamakta direnen"
"dalâlet","hak yoldan ayrılma, sapkınlık"
"tecelli","görüntü, yansıma"
"hakikat-i Kur'âniye","Kur'ân'ın hakikati"
"İnşaallah","Allah'ın izniyle, dilemesiyle"
"Tılsımlar Mecmuası","bk. Tılsımlar Mecmuası"
"Mecmua","kitap"
"tılsım","sır, gizem"
"hilkat-ı âlem","âlemin yaratılışı"
"muamma","anlamı gizli ve zor anlaşılır şey"
"mecmua","kitap"
"ehl-i dalâlet","doğru ve hak yoldan sapanlar, sapık kimseler"
"ehl-i hidâyet","doğru yolda olanlar, iman nimetine ermiş olanlar"
"lezâiz-i cennet","cennet lezzetleri"
"zakkum","cehennemden bir ağacın ismi"
"mecmuacık","kitapçık"
"inşaallah","Allah dilerse"
"neşr","basılma, yayınlama"
"BİSMİLLÂH","Allah'ın adıyla"
"hayr","iyilik, güzel iş"
"mübarek","bereketli, uğurlu"
"nişan","alâmet, işaret"
"mevcudât","varlıklar"
"lisan-ı hâl","hal ve beden dili"
"vird-i zebân","sürekli okunan zikir"
"Bismillâh","Allah'ın adıyla"
"temsîlî","kıyaslamalı benzetme şeklinde, analojik"
"Bedevî","çölde yaşayan, göçebe"
"himaye","koruma altına alma"
"şakî","haydut, yol kesici"
"şer","kötülük, zarar"
"hâcât","ihtiyaçlar"
"tedarik","elde etme"
"hadsiz","sınırsız"
"ihtiyacat","ihtiyaçlar"
"sahrâ","çöl"
"mütevazı","alçakgönüllü"
"mağrur","gururlu"
"Mütevazı","alçakgönüllü"
"mağrur","gururlu"
"selâmet","esenlik, rahatlık"
"kàtıu't-tarik","yolkesen, eşkiya"
"Şakî","haydut, yol kesici"
"nam","ad"
"mağrur","gururlu"
"zelil","alçalmak, aşağılara düşme"
"mağrur","gururlu"
"seyyah","yolcu"
"Acz","âcizlik, güçsüzlük"
"fakr","fakirlik, ihtiyaç hali"
"hadsiz","sınırsız"
"hâcât","ihtiyaçlar"
"nihayetsiz","sonsuz"
"sahrâ","çöl"
"Mâlik-i Ebedî","sahipliği sonsuza kadar süren Allah"
"Hâkim-i Ezelî","egemenliği zaman öncesinden beri devam eden Allah"
"kâinat","evren, yaratılmış her şey"
"hâdisât","olaylar"
"mübarek","bereketli, uğurlu"
"define","hazine, gizli servet"
"nihayetsiz","sonsuz"
"acz","âcizlik, güçsüzlük"
"fakr","fakirlik, ihtiyaç hali"
"nihayetsiz","sonsuz"
"kudret","güç, iktidar"
"rahmet","şefkat, merhamet"
"raptedip","bağlamak"
"Kadîr-i Rahîm","her şeye gücü yeten, sonsuz rahmet sahibi Allah"
"dergâh","makam, huzur"
"acz","âcizlik, güçsüzlük"
"fakr","fakirlik, ihtiyaç hali"
"makbul","kabul görmüş"
"şefaatçi","Allah'ın izniyle af vesilesi olan"
"nam","ad"
"pervâ","korku"
"nam","ad"
"nam","ad"
"mevcudat","varlıklar"
"lisan-ı hâl","hal ve beden dili"
"Bismillâh","Allah'ın adıyla"
"cebren","zorla"
"sevk","göndermek, sürmek"
"cebren","zorla"
"Yakînen","kesin olarak"
"istinad","dayanmak"
"Cenâb-ı Hak","Hakkın ta kendisi olan şeref ve yücelik sahibi Allah"
"zerrecik","atom, en küçük madde parçası"
"Bismillâh","Allah'ın adıyla"
"hazine-i rahmet","rahmet hazinesi"
"tablacılık","tezgâhtarlık, sunuculuk"
"bostan","sebze bahçesi"
"Bismillâh","Allah'ın adıyla"
"matbaha-i kudret","Allah'ın kudret mutfağı"
"muhtelif","çeşitli"
"taam","yiyecek"
"Bismillâh","Allah'ın adıyla"
"feyz","ihsan, bolluk, bereket"
"Rezzak","bütün varlıkların rızıklarını bol bir şekilde tekrar tekrar veren ve ihtiyaçlarını karşılayan Allah"
"latîf","güzel, hoş"
"nazif","temiz"
"âb-ı hayat","hayat suyu; kan"
"takdim","sunmak"
"nebat","bitki"
"Bismillâh","Allah'ın adıyla"
"Rahmân","yarattıklarını esirgeyip koruyan, şefkat eden ve rızıklandıran sonsuz rahmet sahibi Allah"
"musahhar","boyun eğmek"
"intişar","yayılma"
"kemâl-i suhuletle","tam bir kolaylıkla"
"intişar","yayılma"
"şiddet-i hararet","sıcaklığın şiddeti"
"nâzik","zarif, ince, narin"
"tabiiyyun","tabiatçılar, her şeyin tabiatın tesiriyle olduğunu savunanlar"
"salâbet","sertlik, katılık"
"hararet","sıcaklık"
"emir tahtında","emir altında"
"Asâ-yı Mûsâ","Hz. Mûsâ'nın taşa vurunca su çıkaran mu'cizeli asâsı; bk. Mûsâ (a.s.)"
"imtisal","emre uymak, itaat etmek"
"şak","yarmak"
"nâzenin","ince, nazik"
"âzâ-yı İbrahim","ateşe atıldığı halde yanmayan Hz. İbrahim'in vücut organları; bk. İbrahim (a.s.)"
"hararet","sıcaklık"
"mânen","mânevî olarak"
"Bismillâh","Allah'ın adıyla"
"nam","ad"
"Bismillâh","Allah'ın adıyla"
"nam","ad"
"nam","ad"
"nam","ad"
"gafil","duyarsız ve mânevî sorumluluklarından habersiz"
"Tablacı","tezgâhtar, sunucu"
"Mün'im-i Hakikî","gerçek nimet verici olan Allah"
"kıymettar","kıymetli, değerli"
"zikir","Allah'ı anmak"
"şükür","nimeti veren Allah'a karşı minnet duymak, teşekkür etmek"
"fikir","nimeti vereni düşünmek"
"Bismillâh","Allah'ın adıyla"
"zikir","Allah'ı anmak"
"Âhir","son"
"Elhamdü lillâh","hamd ve şükür yalnızca Allah'a mahsustur"
"şükür","nimeti veren Allah'a karşı minnet duymak, teşekkür etmek"
"kıymettar","kıymetli, değerli"
"harika-i san'at","san'at harikası"
"Ehad","bir olan ve birliğinin tecellileri her bir şeyde ayrı ayrı görülen Allah"
"Samed","hiçbir şeye muhtaç olmayan, ama her şey Ona muhtaç olan Allah"
"mucize-i kudret","Allah'ın kudret mu'cizesi"
"hediye-i rahmet","Allah'ın rahmet hediyesi"
"derk","algılamak, anlamak"
"fikir","nimeti vereni düşünmek"
"kıymettar","kıymetli, değerli"
"miskin","zavallı"
"belâhet","aptallık, ahmaklık"
"zahirî","görünürdeki"
"mün'im","nimet veren"
"medih","övmek"
"muhabbet","sevmek"
"Mün'im-i Hakikî","gerçek nimet verici olan Allah"
"belâhet","aptallık, ahmaklık"
"nefis","kişinin kendisi"
"ebleh","ahmak, aptal, akılsız"
"nam","ad"
"nam","ad"
"nam","ad"
"nam","ad"
"vesselâm","artık bitti, bundan sonra selam"
"saadet","mutluluk"
"temsîlî","kıyaslamalı benzetme şeklinde, analojik"
"hodbin","kendini beğenmiş, bencil"
"hüdâbin","Allah'ı tanıyan"
"bahtiyar","talihli"
"sülûk","yönelmek, yola girmek"
"Hodbin","kendini beğenmiş, bencil"
"hodgâm","keyfine düşkün"
"hodendiş","yalnız kendini düşünen"
"bedbin","ümitsiz, karamsar"
"bedbin","ümitsiz, karamsar"
"nazar","bakış"
"fena","kötü"
"bîçâre","çaresiz"
"tahribat","yıkıp bozmalar"
"vâveylâ","feryat"
"hazin","hüzünlü"
"elîm","üzücü, acı verici"
"matemhane-i umumî","genel yas evi"
"elîm","üzücü, acı verici"
"muzlim","karanlıklı"
"halet","hal, durum"
"ecnebî","yabancı"
"meyusâne","ümitsizcesine"
"hüdâbin","Allah'ı tanıyan"
"hüdâperest","Allah'a ibadet eden"
"hak-endiş","hak taraftarı"
"nazar","bakış"
"umumî","genel"
"sürur","sevinç, neşe"
"şehrâyin","şenlik"
"cezbe","Allah aşkıyla kendinden geçme"
"zikirhane","Allah'ın anıldığı yer"
"terhisât-ı umumiye","genel izin, salıverilme"
"tekbir","Allah en büyüktür mânâsında Allahu Ekber demek"
"tehlil","Allah'tan başka hiçbir ilah yoktur mânâsındaki lâ ilâhe illallah sözünü söylemek"
"mesrurâne","sevinçli olarak"
"ahz-ı asker","asker alımı"
"Evvelki","önceki"
"bedbaht","talihsiz, kötü talihli"
"umum","bütün"
"elem","acı, üzüntü"
"müteellim","üzülmek, acı duymak"
"bahtiyar","talihli"
"umum","bütün"
"sürur","sevinç, neşe"
"mesrur","mutlu"
"müferrah","ferahlamış, huzurlu"
"divane","deli"
"Batn","iç"
"zahir","dış"
"aks","yansımak"
"terhisât","serbest bırakılmalar, salıverilmeler"
"tevehhüm","kuruntuya kapılmak, zannetmek"
"nazar","bakış, dikkat"
"hakikat","gerçek"
"nihayet","son"
"âdil","adaletli"
"merhametkâr","merhametli, şefkatli"
"raiyetperver","halkına iyi davranan"
"muktedir","güçlü, iktidar sahibi"
"intizam perver","düzeni seven"
"müşfik","şefkatli"
"melik","hükümdar"
"âsâr-ı terakkiyat ve kemâlât","gelişmişlik ve kalkınmışlık eserleri"
"vehm","zan, kuruntu"
"suret","şekil"
"bedbaht","talihsiz"
"nedamet","pişman olmak"
"işret","içkili eğlence, sefahet"
"divane","deli"
"halet","hal, durum"
"nefs","kişinin kendisi"
"fâsık","günahkâr"
"gafil","duyarsız, sorumsuz, âhiretten ve Allah'ın emir ve yasaklarından habersiz davranan"
"nazar","bakış, dikkat"
"matemhane-i umumiye","genel yas evi"
"zîhayat","canlı"
"firak","ayrılık"
"zevâl","geçip gitme, kaybolma"
"sille","tokat, şamar"
"ecel","ölüm vakti"
"mevcudat","varlıklar"
"elîm","üzücü, acı verici"
"dehşetli","korkunç"
"evham","vehimler, kuruntular"
"dalâlet","hak yoldan sapkınlık, inançsızlık"
"neş'et","kaynaklanmak"
"mânen","mânevî olarak"
"tâzip","azap vermek"
"mü'min","imanlı, Allah'a inanan"
"Cenâb-ı Hâlık","Yüce Yaratıcı, Allah"
"tasdik","doğruluğunu kabul etmek"
"nazar","bakış, dikkat"
"zikirhane-i Rahmân","çok merhametli olan Allah'ın anıldığı mekân"
"talimgâh-ı beşer ve hayvan","hayvan ve insanların eğitim yeri"
"meydan-ı imtihan-ı ins ü cân","insanların ve cinlerin imtihan yeri"
"vefiyât-ı hayvaniye ve insaniye","hayvanların ve insanların ölümleri"
"terhisat","serbest bırakılmalar, salıverilmeler"
"Vazife-i hayat","hayat görevi"
"dâr-ı fâni","geçici yer, dünya"
"mânen","mânevî olarak"
"mesrurâne","mutlu olarak"
"dağdağasız","sıkıntısız, ızdırapsız"
"tevellüdât-ı hayvaniye ve insaniye","hayvan ve insanların doğumu"
"ahz-ı asker","askere alma"
"zîhayat","canlı"
"muvazzaf","vazifeli, görevli"
"mesrur","mutlu"
"müstakim","dosdoğru olan"
"sadâ","ses"
"zikir","Allah'ı anma"
"tesbih","Allah'ı kusurdan yüce tutarak şanına lâyık ifadelerle anma"
"tefrih","ferahlama"
"neş'et","doğmak, kaynaklanmak"
"nağamat","nağmeler, hoş sesler"
"mevcudat","varlıklar"
"mü'min","imanlı, Allah'a inanan"
"nazar","bakış, dikkat"
"Seyyid-i Kerîm","ikram ve cömertlik sahibi efendi, Allah"
"Mâlik-i Rahîm","sonsuz şefkat ve merhamet sahibi olan herşeyin sahibi Allah"
"mûnis","sevimli, dost"
"lâtif","güzel, hoş"
"ulvî","yüce"
"leziz","lezzetli"
"hakikat","gerçek"
"tecellî","yansıma"
"tezahür","görünmek"
"tûbâ-i Cennet","Cennetteki tûbâ ağacı"
"Küfür","inkâr, inançsızlık"
"zakkum-u Cehennem","Cehennemdeki zakkum ağacı"
"selâmet","güven, esenlik"
"İBADET","Allah'a kulluk"
"saadet","mutluluk"
"fısk","günah, günahkârlık"
"sefahet","yasak zevklere düşkünlük, beyinsizce davranış, budalalık"
"hasâret","zarar"
"helâket","yok oluş"
"temsîlî","kıyaslamalı benzetme şeklinde, analojik"
"menfaat","yarar"
"intizamsız","düzensiz"
"Zahirî","görünüşte"
"hiffet","hafiflik"
"İntizam-ı askerî","askerî disiplin"
"mugaddî","gıdalı, besleyici"
"hülâsa","öz, konsantre"
"okka","1.283 grama karşılık gelen ağırlık ölçüsü"
"adüvv","düşman"
"kıyye","1.283 grama karşılık gelen ağırlık ölçüsü"
"mîrî","devlete ait"
"muarrif","tarif edici, tanıtıcı"
"bahtiyar","talihli, mutlu"
"nefer","asker, er"
"batman","yaklaşık 8 kg. ağırlığında bir ağırlık ölçüsü"
"batman","yaklaşık 8 kg. ağırlığında bir ağırlık ölçüsü"
"minnet","iyilik karşısında kendini borçlu hissetmek"
"bedbaht","talihsiz, kötü talihli"
"nefer","asker, er"
"nizam","düzen, kanun"
"tâbi","uymak"
"batman","yaklaşık 8 kg. ağırlığında bir ağırlık ölçüsü"
"batman","yaklaşık 8 kg. ağırlığında bir ağırlık ölçüsü"
"minnet","iyilik karşısında kendini borçlu hissetmek"
"hadsiz","sınırsız"
"suret","şekil, biçim"
"mahall-i maksud","hedeflenen, varılacak yer"
"âsi","isyankâr"
"nizam","düzen, kanun"
"muhafaza","korumak"
"nefer","asker, er"
"minnet","iyilik karşısında kendini borçlu hissetmek"
"havf","korkmak"
"rahat-ı kalb ve vicdan","kalp ve vicdan rahatlığı"
"matlup","istenen, hedeflenen"
"münasip","uygun"
"mükâfat","ödül"
"nefs-i serkeş","söz dinlemeyen nefis"
